DOI,TREATMENT,INOCTYPE,RESPONSE,SOILTYPE,FIELDGREENHOUSE,LANDUSE,ECOTYPE,ECOREGION,LOCATION
10.1016/j.jenvman.2024.120673,sole combined inoculation; combined inoculation; inoculation Sole combination; co-applied; MPs treatment; treatments; (Sole vs. combination; MPs raw; MPs aged; MPs polyethylene; MPs; Bacillus subtilis inoculation combination; Microplastics (MPs) MPs; microbial inoculation,subtilis; Trichoderma longibrachiatum inoculation; the Trichoderma subtilis; Trichoderma longibrachiatum; Trichoderma subtilis; Trichoderma Bacillus; Bacillus; Trichoderma Bacillus subtilis; Trichoderma Bacillus subtilis co-applied; microbial inoculation,microbial biomass,,microcosm; greenhouse,,,terrestrial ecosystem; terrestrial ecosystems,
10.1093/treephys/tpae029,hydrophobicity; exploration type; the control; Drought; needle biomass; other exploration types; medium-distance; seedling drought; drought,ectomycorrhizal fungi; soil inoculum; ectomycorrhizal fungi different; natural soil inoculums,biomass; seedling growth; root biomass,,nursery; greenhouse,,Scots pine; Pinus sylvestris,,
10.1007/s11356-024-32755-7,SOD POD CAT; Cr;   P5CR; BS AMF combined;   OAT; (Cr; AMF combination; AMF inoculation; BS AMF inoculated consortia; BS combination; co-application BS AMF; Chromium Cr; % P5CS; The co-inoculation;   % ProDH; BS AMF co-inoculation; Cr-stressed; when inoculated; single co-application; (BS); BS AMF combination; Cr-stressed plants; BS consortia; co-application; AMF sole; inoculation Sole; microbial inoculation; BS AMF,Bacillus subtilis BS fungi; Bacillus subtilis; arbuscular mycorrhizal fungi (AMF),root biomass; shoot biomass; plant growth,Cr-stressed soil,field,chromium remediation; Chromium contamination,,,
10.1007/s00572-024-01139-7,nematodes; the inoculation; Meloidogyne incognita; nematode inoculation; four; M. incognita; infected; AMF inoculation; four AMF; the root-knot nematode Meloidogyne incognita; AMF,Claroideoglomus claroideum mosseae margarita intraradices; Funneliformis mosseae; Arbuscular mycorrhizal fungi (AMF); Gigaspora margarita; Claroideoglomus claroideum; margarita; claroideum Rhizophagus intraradices; claroideum Funneliformis mosseae; mosseae Gi F.; claroideum C.; AMF inoculation; Rhizophagus intraradices; claroideum Gigaspora margarita,biomass shoot; plant biomass,,greenhouse,,Tomato plants,,
10.1111/ppl.14205,single inoculation; sand culture; cadmium (Cd) Cd; co-inoculation; non-inoculated controls; co-inoculated; Cd; sufficiency; symbiotic microorganisms important; AMF; N sufficiency; N deficiency,arbuscular mycorrhizal fungi (AMF); Mesorhizobium; Funneliformis mosseae; Rhizobia fungi; huakuii,higher biomass activity; growth stimulated; the growth resistance,nutrient-deficient metal-contaminated; heavy metal-contaminated,,heavy metal,Robinia; pseudoacacia; black locust,,
10.1016/j.ecoenv.2024.116157,Cr; the inoculation; rhizosphere microbial; nitrogen-N; AMF inoculation; (Cr); AMF intraradices promoters; chromium Cr; inoculation; AMF,plant growth-promoting bacteria; Rhizophagus intraradices; Arbuscular mycorrhizal fungi (AMF),the biomass levels; growth the; plant growth,Cr-contaminated soil; contaminated soil,greenhouse pot,heavy metal,I. tectorum; wetland; Iris tectorum,,
10.1128/spectrum.03427-23,biochar; Pb shoot; soil lead; biochar application; Pb bioavailable; biochar AMF use; biochar AMF; biochar addition; fungi inoculation; Pb sub>2</sub>-extractable; Biochar; Pb; AMF,arbuscular mycorrhizal fungi (AMF); AMF inoculation,maize growth; height diameter shoot uptake; root biomass,contaminated soil,,metal IMPORTANCEHeavy contamination; heavy metals; agricultural; heavy metal,Zea mays; maize,,
10.1080/15226514.2024.2315471,sodium ether-amine; double inoculation; bioremediation  ; four treatments; the inoculation; bioremediation inoculation; organic matter; treatments relative; physical remediation; sediment scraping; ammonium; response; chemical remediation; AMF,plant growth-promoting bacteria; Rhizophagus irregularis; fungus Rhizophagus irregularis bacteria; arbuscular mycorrhizal fungus (AMF); Bacillus subtilis,soil microbial biomass; plant growth,,,remediation; rehabilitating; contaminated; the restoration,Fundão; contaminated; Atlantic Forest; riparian,,Brazil; Doce River
10.3389/fpls.2024.1303750,the CO treatment; inoculated inoculated; short chain chito-oligosaccharides CO; AM; inoculated CO-treated; the presence absence; AM fungal; chito-oligosaccharides CO; presence absence; presence inoculation; control inoculated; control inoculated inoculated CO-treated; AM fungi; CO treatment,arbuscular mycorrhizal (AM),forage biomass; AM colonization,,forage,agronomic; agricultural,Lowland meadows; meadows mixed; a meadow lowland mixed; meadow lowland,,
10.1016/j.heliyon.2024.e24820,CV L.; mixed mycorrhiza; different mycorrhizae; MBC; vetch inoculations; five different mycorrhizae; CV; % % AMFs; NV; fertilizer; AMF; AMF inoculations; CV fasciculatum; five inoculations; NV AMFs; AMF different inoculations conditions,Glomus constrictum; intraradices; Arbuscular mycorrhizal fungi (AMF); microcarpum; Glomus   constrictum; AMF inoculum; fasciculatum; vetch G. intraradices; G. intraradices; mosseae; Glomus fasciculatum; AMF inoculation; vetch G. intraradices %; Glomus G.; G.   microcarpum %; G.   microcarpum; Gigaspora; constrictum,microbial biomass,high lime; calcareous areas; low organic matter,field,sustainable agriculture; agricultural,Vicia; Vetch Narbonne NV; common Vetch; vetch; Vetch Narbonne; narbonensis; vetch NV; vetch CV,arid regions,
10.1016/j.scitotenv.2024.170417,AMF PGPR; moderate water; control plants; severe water; (well-watered; control; PGPR); Drought; water levels; co-inoculation; PGPR; drought; drought severe; combination; moderate severe; AMF; co-inoculation AMF-PGPR,arbuscular mycorrhizal fungi (AMF); PGPR laevis Bacillus subtilus; plant growth-promoting rhizobacteria; AMF Acaulospora laevis subtilus; laevis subtilus B.; Acaulospora laevis; Bacillus subtilus; laevis subtilus A.,yield maize; microbial biomass; yield enhanced functioning grain physiological; yield; yield grain; root growth; yields; crop growth; yield reduced grain compared,,pot experiment,,maize L.; crop; maize; Zea mays,,
10.3390/microorganisms12010075,soil AM; AM; the inoculum; AM fungal; OTUs; AMF,arbuscular mycorrhizal fungi (AMF),the shoot biomass intensity used; shoot biomass sativa,,the field surroundings; the field; greenhouse,,wheat weeds; wheat wheat associated; wheat wheat; T. durum; wheat; an organic winter wheat field; Triticum durum; wheat associated,this agroecosystem,Lebanon
10.1007/s11356-024-31870-9,biochar; Cd AMF biochar; AMF biochar alone; alone; biochar application; single fungal; AMF alone; Cd the soil; mixed-fungi inoculation; inoculation dual; biochar with without; AMF biochar; AMF; biochar alone; biochar rice-husk; Cd treatments; inoculation mixture; biochar treatments; either alone combination; sterilized AMF; Cd soil; mixed-fungi; Cd; Cd AMF; Cadmium,arbuscular mycorrhizal fungi (AMF); Rhizophagus irregularis; biochar irregularis R.; Diversispora versiformis; Rhizophagus irregularis versiformis; irregularis Diversispora versiformis; irregularis versiformis R.; versiformis D.; irregularis versiformis D.,biomass; growth capabilities; dry weight; as biomass; responses These,Cd-contaminated soil,pot experiment; a greenhouse,Cadmium Cd contamination,Ligustrum lucidum; lucidum,,
10.1002/jobm.202300424,AMFs; G.m; four; C.t; selenium Se; The inoculation; G.m G.e C.t   inoculation; G.m G.e inoculated; four AMFs; C.t  ; inoculation AMFs all; G.m G.e; when inoculated; AMF; G.m C.t C.t   inoculation; G.m C.t; the inoculation; inoculation AMFs; G.e; G.e + C.t; combined application; Se,arbuscular mycorrhizal fungi (AMF); Glomus etunicatum G.e tortuosum; Glomus mosseae G.m; Glomus etunicatum; Glomus mosseae; etunicatum Corymbiglomus tortuosum  ; Corymbiglomus tortuosum; AMF inoculation; etunicatum Corymbiglomus tortuosum C.t; Glomus etunicatum tortuosum,the biomass; the biomass ultimately; amaranth biomass content,soil enriched with selenite enriched,pot,,amaranth; amaranth plants,,
10.1007/s12298-023-01369-7,environmental stresses; control plants; Al stress; aluminum Al; Al; AMF,arbuscular mycorrhizal fungi (AMF); Funneliformis mosseae; specifically Funneliformis mosseae; AMF inoculation; arbuscular mycorrhizal,the growth enzymes expressions; Dry mass; plant biomass; the growth performance,acidic soil,,,repens; white clover; Trifolium,,
10.1007/s10123-023-00466-7,inoculated plants; inoculation etunicatum irregularis combination; a combination non-inoculated control treatment; T1 T2; AMF multiple; AMF inoculation; three levels; combination T123; T3 T123; water availability; T123; T3; non-inoculated treatment; T2; T1; T3 control; control treatment; the control; the T3 control; uninoculated plants; inoculation combination T123 treatment; T123 inoculated The plants inoculated; T123 plants inoculated; change-exacerbated drought,arbuscular mycorrhizal fungi (AMF); etunicatum Gigaspora margarita T2; Rhizophagus irregularis; Claroideoglomus etunicatum T1 margarita; Gigaspora margarita; Claroideoglomus etunicatum; Rhizophagus irregularis T3,biomass; dry biomass; biomass cassava above-ground; growth rate,,a greenhouse; greenhouse,crops fungi; agricultural,crops; cassava,,
10.1111/nph.19493,fertilization; no-till; tillage experiment; conventionally tilled; tillage fertilization; unfertilized; AM; Tillage fertilizers monoculture; continuous monoculture; AM fungal; conventional low-input; Tillage fertilizers; fertilized; no-tilled,arbuscular mycorrhizal (AM); inoculated with soils; soil inoculum; Rhizophagus Dominikia,wheat biomass; depressed growth; crop ecosystem yield both; wheat yield,,the field,crop; agricultural,wheat; wheat inoculated,,
10.3390/plants12244171,Trolox; HMC26; the MIX; inoculation procedures; stress; HMC26 MIX CC + HMC26; CC; soil humidity; water stress; the inoculation claroideum; g HMC26 0.9; AMF; water starvation,arbuscular mycorrhizal fungi (AMF); Claroideoglomus claroideum; Claroideoglomus lamellosum; AMF inoculation; Claroideoglomus claroideum lamellosum; Claroideoglomus claroideum CC lamellosum HMC26,yield response; biomass; the yield quality,,,potato crops; the common crops,potato plants; potato; Solanum tuberosum,,
10.3390/plants12244088,the inoculation treatment additional AM inoculation; AM; Agri mycorrhiza; artificial inoculation treatment; drought; treatment AM inoculation; AM fungi,artificial inoculation; Rhizophagus irregularis,biomass,degraded,,the grassland artificial restorations; urban,grasslands lawns; lawn; grassland,mesoclimatic,Törökszentmiklós; Pannon; Hungarian Great Plain; Törökszentmiklós Nagykunság Plain
10.3390/jof9121152,Co-inoculated; four; dual inoculation; AMF EPF; an fungi AMF; AMF KS-02 PBMP16; AMF EPF co-inoculated; inoculation; co-inoculated with; single inoculants; the treatments; an AMF co-inoculation strains; AMF; non-inoculated; plant-endophyte consortia; EPF; single EPF; EPF co-inoculated; co-inoculation,Rhizophagus; Trichoderma; Arbuscular mycorrhizal fungi (AMF); zelobreve PBMP16 Co-inoculated R.; zelobreve; variabilis; endophytic fungi,biomass; the biomass highest; yield; Plant growth; growth; plant growth; root growth; the growth production,,pot,sustainable agriculture; agricultural,,,
10.3390/plants12234012,MG; AMF inoculation; CC; Co-inoculation influenced; AMF Co-inoculation; non-inoculated NY; non-AMF inoculated; treatment NY-NM; treatment MG-CC; The treatment MG-CC; the treatment NY-NM; non-inoculated inoculated NY combination; AMF; non-inoculated inoculated; NM; yeast; MIX; RM; the MG-NM treatment; Cu; MG-NM treatment; Yeast inoculation,Meyerozyma guilliermondii MG mucilaginosa; guilliermondii Rhodotorula mucilaginosa RM; Arbuscular mycorrhizal fungi (AMF); Claroideoglomus claroideum CC; Meyerozyma guilliermondii; Claroideoglomus claroideum; yeast inoculation; Rhodotorula mucilaginosa,root biomass; growth; shoot biomass; 3.4-fold; 5-fold; plant growth,Cu-contaminated,,mine,Oenothera picensis,,
10.1111/pce.14771,PGPR inoculating; inoculating; PGPR,the Bacillus amyloliquefaciens; PGPR Bacillus amyloliquefaciens; arbuscular mycorrhizal fungi; plant growth-promoting rhizobacteria,flower biomass,,,,cultivated tomato lycopersicum; Solanum tomato lycopersicum; peruvianum S.; tomatoes; Solanum; Solanum lycopersicum; Solanum peruvianum; pimpinellifolium; Solanum habrochaites; Solanum habrochaites  ,,
10.1016/j.jenvman.2023.119509,"multiple AMF; moderate high; Inoculating; three AMF; biodiversity complete sterilization,; low; single AMF; low moderate high; three; low moderate; no AMF; inoculation; AMF",AMF inoculation; Arbuscular mycorrhizal fungi (AMF),reduced biomass non-N sub>2</sub>-ﬁxing; the biomass greater sub>2</sub>-fixing; The biomass; plant biomass,,Grassland microcosms; greenhouse,grassland restoration; Grassland degradation; degraded,grassland; degraded grassland; Grassland,,
10.1016/j.envpol.2023.122841,high; non-inoculated; light; As; AMF exposed; As mg/kg high; As stress; Arsenic As; Arsenic; As mg/kg; AMF; mycorrhizal inoculation,Rhizophagus irregularis; Rhizophagus irregularis Maxim; Arbuscular mycorrhizal fungi (AMF),biomass; the growth,As-contaminated,pot experiment,Arsenic pollution,I. tectorum; Iris tectorum; wetlands; wetlands As-contaminated; wetland,,
10.1007/s10886-023-01455-w,VOC; without herbivores; tomato varieties; Four varieties; AMF; non-inoculated,arbuscular mycorrhizal fungi (AMF); commercial inoculum,Plant biomass,,greenhouse,,Tomato plants; Solanum; lycopersicum; tomato plants; tomato,,
10.3390/jof9100977,NaOH-Po; the non-inoculated control; co-inoculation; PSB treatment AMF + PSB; nylon mesh; AMF PSB; AMF inoculation; co-inoculation treatment; AMF; PSB; inoculation; non-inoculated control; phosphate solubilizing bacteria; the co-inoculation treatment,Claroideogolmus etuicatum; Arbuscular mycorrhizal fungi (AMF); etuicatum Bacillus aryabhattai; Bacillus aryabhattai; effects namely Claroideogolmus etuicatum aryabhattai,biomass; plant growth,the hyphosphere soil,a three-compartment microcosm,,rootless soil; Camellia oleifera; oleifera C.,,
10.1007/s13205-023-03793-8,AMF-inoculated plants; non-seleniferous soil; control plants; inoculated; Se-tolerant AMF; non-seleniferous regions; 17 AMF; Se; non-seleniferous region; 18 AMF; AMF; non-AMF-inoculated plants,arbuscular mycorrhizal fungi (AMF); irregularis G. custos; Glomus irregularis; irregularis G. intraradices; AMF inoculation; Glomus irregularis custos intraradices,grain biomass; plant growth; healthy growth,seleniferous soils; seleniferous soil,,seleniferous region; Se toxicity; seleniferous non-seleniferous,maize,,
10.1093/treephys/tpad130,Five treatments; inoculated; inoculation; one-fifth one-fourth one-third one-half; pruning root treatments zero; pruning root treatments all; one-fourth one-third; treatment noninoculated; AMF; AMF The; water; treatments zero one-fifth; zero one-fifth one-fourth; noninoculated; taproot length; one-fourth one-half; without inoculation; root-pruned; the treatment noninoculated,pseudoacacia R. properties; mosseae F.; Funneliformis mosseae; Arbuscular mycorrhizal fungi (AMF),seedling biomass; root biomasses,,pot experiment,,Robinia pseudoacacia; forest ecosystems,,
10.3390/plants12193426,AMF,Arbuscular mycorrhizal fungi (AMF); commercial AMF inoculant,high yield; the yield pod; yield; the growth morphology; pod biomass; root growth,saline-alkali soil; saline-alkali normal soils; normal soil,,agronomic; oil crop,hypogaea; peanut rhizosphere; peanuts; peanut; Arachis; the peanut rhizosphere; Peanut L.; peanut inoculated,,
10.1007/s00572-023-01126-4,phosphorus addition levels; four phosphorus; AMF; mycorrhizal inoculation; mycorrhizal fungi,arbuscular mycorrhizal fungal (AMF),Plant biomass; plant biomass; plant growth,,,Crop; crop,wheat soybean; maize wheat soybean; maize wheat; maize,,
10.1016/j.envres.2023.117219,normal groups; combined inoculation; three factors; synergistic treatments; AM fungal; stress groups; treatment; AMF Bacillus; rot disease stress; GC‒MS assays; control plants,arbuscular mycorrhizal fungi (AMF); plant growth-promoting bacteria; Fusarium oxysporum; Funneliformis mosseae; Bacillus mosseae; Bacillus paramycoides; Bacillus paramycoides mosseae; paramycoides stress; paramycoides mosseae; paramycoides Funneliformis mosseae; Bacillus paramycoides Funneliformis mosseae,dry weight; soybean biomass; growth,,pot,,soybean,,
10.1016/j.scitotenv.2023.167289,biochar; combined application; biochar AM fungi; Cr; the non-amended treatment; biochar application; biochar AM fungus; AM colonization; biochar level; (Cr; AM fungal; AM fungus; non-amended treatment; Soil chromium; biochar mycorrhizal; Cr plant; the biochar highest level; Cr root,arbuscular mycorrhizal (AM); Rhizophagus irregularis; fungal inoculum,growth; dry biomass; sativa growth trait nutrient expressions properties speciation,,pot,chromium Cr contamination; soil heavy metal,Medicago sativa,,
10.7717/peerj.15686,Five treatments; commercial fertilizers; fertilizers these; inoculating; mycorrhizae; Mycorrhizae; different treatments; consortia; mycorrhizae consortia; the mycorrhizae; mycorrhizal inoculation,indigenous mycorrhizal species; Claroideoglomus,dry biomass; the growth; wheat biomass/yield; yield % hay weight; yield % grain weight; yield different parameters; wheat yield,,field,crop; sustainable agriculture,hay; wheat,,
10.1016/j.ecoenv.2023.115458,cadmium; high low; mineral nutrient; Cd; Cd   mg/kg; AMF,Arbuscular mycorrhizal fungi (AMF),growth; the growth; root biomass,Cd-polluted soil,pot,Cd-polluted; crop,Panyu Ludan 8; maize Panyu; maize; maize Panyu 3; Panyu 3 Ludan 8; Panyu 3 Ludan 8 capacities,,
10.3389/fpls.2023.1206047,CMN; P chemical fertilizers; non-mycorrhizal controls; Pi maize; co-cultivated; Pi; the AM fungus; inoculated walnut; controls; inoculum; soil inorganic phosphate; Pi limitation,arbuscular mycorrhizal fungi,biomass; the growth; biomass number; biomass diameter; height,,,agroforestry,maize; walnut roots; Juglans; agroforestry; walnut; mycorrhizal walnuts; walnut trees,,
10.3390/microorganisms11082012,inoculated plants; AM fungal; inoculation treatment; AM fungi-inoculated; inoculation; fungi-inoculated; AM fungi,arbuscular mycorrhizal (AM); fungal inoculation,fruit biomass; biomass; response; pepper biomass total,,field,both crops; crop; organic farming; organic farmed; organic farm,crop; tomatoes fungi-inoculated; pepper productivity; tomatoes; tomato varieties; tomato; pepper,,Lawrence KS; Lawrence KS USA; Lawrence USA
10.3389/fpls.2023.1222557,inoculated AMF+S; weight activity GPOX; inoculated; PGPM consortia; AMF PGPM consortia; Microorganism consortia; co-inoculation; AMF efficiency; PGPM consortia composed; PGPM; consortia claroideum BEG96 BEG BEG92 BEG199 BEG140; all treatments; AMF consortia; PGPM microorganisms; Azospirillum brasilense AZ; AMF,etunicatum BEG92; Funneliformis mosseae; arbuscular mycorrhiza; Claroideoglomus etunicatum; Funneliformis BEG199; geosporum BEG199; irregularis BEG140; plant growth-promoting microorganisms; Funneliformis geosporum BEG199; Rhizophagus irregularis BEG140; Saccharothrix; PGPM; Azospirillum; Rhizophagus BEG140; Claroideoglomus claroideum; Claroideoglomus etunicatum BEG92; arbuscular mycorrhizal fungi (AMF); S PGPM AZ; brasilense,biomass,sand; with peat; peat:sand; sand peat and sand,,degraded; crop cultivation,onion cultivated; onion; onion grown,,
10.3390/toxics11070582,biochar; single mixed inoculation; single inoculation; cadmium-contaminated soil; medium; AMF inoculated alone; inoculation simultaneous; low; AMF alone; all treatments; AMF biochar; when inoculated; AMF; AMF caledonium; the inoculation; high; three; mendocina AMF; Inoculation; three microorganisms; Cd; bacteria fungi mendocina; bacteria Ceratobasidium fungi fungi,Funneliformis caledonium; arbuscular-mycorrhizal fungi; Ceratobasidium; Pseudomonas mendocina,the biomass; plant biomass,cadmium-contaminated soil,,soil amendments; remediation; toxic,Pennisetum alopecuroides; Paspalum vaginatum,,
10.1111/gcb.16886,SOC; the inoculated AMF; AMF,bacterial; Paraglomus Acaulospora; Glomus; Arbuscular mycorrhizal fungi (AMF),fungal biomass,,,,,,
10.1093/aob/mcad095,AMF-colonized; either colonized colonized; AMF Colonization; AMF colonized; water; Colonization; not colonized; NO3-; low soil water; soil water; inoculation; AMF; non-colonized plants,arbuscular mycorrhizal fungi (AMF),biomass,,pot,,wetland subtropical; Carex thunbergii; lake-wetland; wetland,Subtropical; subtropical,
10.3389/fmicb.2023.1184070,non inoculated (NI; non-planted non-inoculated; Cu; inoculation; the inoculation; inoculated; inoculated bacteria; a combination; soil compost w/w; PGPMYC; microbiological; Non-amended; 10; PGP; co-cropping; MYC; rhizobacteria inoculation,bacterial fungal inocula; mycorrhizae MYC; plant growth promoting rhizobacteria,aerial biomass; root biomass; the growth planted co-cropping; growth; plant growth,high acidity; barren tailings; deficiency of organic matter; mine soil,pots containing,a Cu mine; mining; pollution; Mine,repens; Populus nigra; P. nigra; Trifolium,,
10.1016/j.envpol.2023.122146,with without; N fertilizer; PP; with; without inoculation; PP-contaminated soils; AM fungi; microplastics,arbuscular mycorrhizal (AM); fungal inoculum,maize growth; maize root biomass; plant growth; shoot biomass area,clayey soil,pot,crop consequently; Soil contamination; contamination this,Zea mays; maize,,
