"","study_id","TREATMENT"
"190","10.1590/1519-6984.276160"," scs"
"191","10.1590/1519-6984.276160"," inoculation control etunicatum"
"192","10.1590/1519-6984.276160"," cattle manure"
"193","10.1590/1519-6984.276160"," without amf"
"194","10.1590/1519-6984.276160"," three amf"
"195","10.1590/1519-6984.276160"," poultry manure"
"196","10.1590/1519-6984.276160"," inoculation amf"
"197","10.1590/1519-6984.276160"," four amf"
"198","10.1590/1519-6984.276160"," treatments"
"199","10.1590/1519-6984.276160"," amf"
"200","10.1590/1519-6984.276160"," inoculation control"
"201","10.1590/1519-6984.276160"," mix"
"202","10.1590/1519-6984.276160"," sheep manure"
"203","10.1590/1519-6984.276160"," phosphate fertilization"
"204","10.1590/1519-6984.276160"," inoculation"
"205","10.1590/1519-6984.276160"," inoculation phosphorus"
"206","10.1590/1519-6984.276160"," the inoculation"
"207","10.1590/1519-6984.276160"," a mix combination"
"208","10.1590/1519-6984.276160"," chicken manure"
"209","10.1590/1519-6984.276160"," without inoculation"
"210","10.1016/j.jenvman.2024.120673","sole combined inoculation"
"211","10.1016/j.jenvman.2024.120673"," combined inoculation"
"212","10.1016/j.jenvman.2024.120673"," treatments"
"213","10.1016/j.jenvman.2024.120673"," mps treatment"
"214","10.1016/j.jenvman.2024.120673"," bacillus subtilis inoculation combination"
"215","10.1016/j.jenvman.2024.120673"," mps raw"
"216","10.1016/j.jenvman.2024.120673"," mps aged"
"217","10.1016/j.jenvman.2024.120673"," microplastics (mps) mps"
"218","10.1016/j.jenvman.2024.120673"," co-applied"
"219","10.1016/j.jenvman.2024.120673"," combined application"
"220","10.1016/j.jenvman.2024.120673"," microbial inoculation"
"221","10.1016/j.jenvman.2024.120673"," mps polyethylene"
"222","10.1016/j.jenvman.2024.120673"," inoculation sole combination"
"223","10.1016/j.jenvman.2024.120673"," mps"
"224","10.1016/j.jenvman.2024.120673"," (sole combination"
"225","10.1093/treephys/tpae029","14-day recovery"
"226","10.1093/treephys/tpae029"," hydrophobicity"
"227","10.1093/treephys/tpae029"," exploration type"
"228","10.1093/treephys/tpae029"," needle biomass"
"229","10.1093/treephys/tpae029"," drought"
"230","10.1093/treephys/tpae029"," other exploration types"
"231","10.1093/treephys/tpae029"," the control"
"232","10.1093/treephys/tpae029"," medium-distance"
"233","10.1093/treephys/tpae029"," seedling drought"
"234","10.1007/s11356-024-32755-7","amf inoculation"
"235","10.1007/s11356-024-32755-7"," bs consortia"
"236","10.1007/s11356-024-32755-7"," (bs)"
"237","10.1007/s11356-024-32755-7"," combined application"
"238","10.1007/s11356-024-32755-7"," % p5cs"
"239","10.1007/s11356-024-32755-7"," the co-inoculation"
"240","10.1007/s11356-024-32755-7"," amf sole"
"241","10.1007/s11356-024-32755-7"," chromium cr"
"242","10.1007/s11356-024-32755-7"," co-application bs amf"
"243","10.1007/s11356-024-32755-7"," cr"
"244","10.1007/s11356-024-32755-7","   p5cr"
"245","10.1007/s11356-024-32755-7"," bs amf co-inoculation"
"246","10.1007/s11356-024-32755-7"," bs combination"
"247","10.1007/s11356-024-32755-7"," microbial inoculation"
"248","10.1007/s11356-024-32755-7"," when inoculated"
"249","10.1007/s11356-024-32755-7"," co-application"
"250","10.1007/s11356-024-32755-7"," single co-application"
"251","10.1007/s11356-024-32755-7"," amf combination"
"252","10.1007/s11356-024-32755-7"," bs amf inoculated consortia"
"253","10.1007/s11356-024-32755-7","   oat"
"254","10.1007/s11356-024-32755-7"," bs amf combination"
"255","10.1007/s11356-024-32755-7"," bs combined"
"256","10.1007/s11356-024-32755-7"," bs amf"
"257","10.1007/s11356-024-32755-7"," (cr)"
"258","10.1007/s11356-024-32755-7"," bs amf inoculated combined"
"259","10.1007/s11356-024-32755-7"," control"
"260","10.1007/s11356-024-32755-7"," cr-stressed"
"261","10.1007/s11356-024-32755-7"," inoculation sole"
"262","10.1007/s11356-024-32755-7"," sod pod cat"
"263","10.1007/s11356-024-32755-7","   % prodh"
"264","10.1007/s00572-024-01139-7","amf inoculation"
"265","10.1007/s00572-024-01139-7"," four amf"
"266","10.1007/s00572-024-01139-7"," the root-knot nematode meloidogyne incognita"
"267","10.1007/s00572-024-01139-7"," m. incognita"
"268","10.1007/s00572-024-01139-7"," nematodes"
"269","10.1007/s00572-024-01139-7"," amf"
"270","10.1007/s00572-024-01139-7"," meloidogyne incognita"
"271","10.1007/s00572-024-01139-7"," the inoculation"
"272","10.1007/s00572-024-01139-7"," infected"
"273","10.1007/s00572-024-01139-7"," nematode inoculation"
"274","10.1007/s00572-024-01139-7"," four"
"275","10.1111/ppl.14205","co-inoculation"
"276","10.1111/ppl.14205"," sand culture"
"277","10.1111/ppl.14205"," amf"
"278","10.1111/ppl.14205"," sufficiency"
"279","10.1111/ppl.14205"," co-inoculated"
"280","10.1111/ppl.14205"," cadmium cd"
"281","10.1111/ppl.14205"," non-inoculated controls"
"282","10.1111/ppl.14205"," cd"
"283","10.1111/ppl.14205"," single inoculation"
"284","10.1111/ppl.14205"," symbiotic microorganisms important"
"285","10.1111/ppl.14205"," n sufficiency"
"286","10.1111/ppl.14205"," n deficiency"
"287","10.1016/j.ecoenv.2024.116157","amf inoculation"
"288","10.1016/j.ecoenv.2024.116157"," nitrogen-n"
"289","10.1016/j.ecoenv.2024.116157"," (cr)"
"290","10.1016/j.ecoenv.2024.116157"," chromium cr"
"291","10.1016/j.ecoenv.2024.116157"," amf"
"292","10.1016/j.ecoenv.2024.116157"," the inoculation"
"293","10.1016/j.ecoenv.2024.116157"," cr"
"294","10.1016/j.ecoenv.2024.116157"," inoculation"
"295","10.1016/j.ecoenv.2024.116157"," amf intraradices promoters"
"296","10.1016/j.ecoenv.2024.116157"," rhizosphere microbial"
"297","10.1016/j.ecoenv.2024.116157"," ammonium"
"298","10.1128/spectrum.03427-23","combined"
"299","10.1128/spectrum.03427-23"," soil lead"
"300","10.1128/spectrum.03427-23"," amf"
"301","10.1128/spectrum.03427-23"," pb sub>2</sub>-extractable"
"302","10.1128/spectrum.03427-23"," biochar"
"303","10.1128/spectrum.03427-23"," pb shoot"
"304","10.1128/spectrum.03427-23"," biochar application"
"305","10.1128/spectrum.03427-23"," biochar amf"
"306","10.1128/spectrum.03427-23"," pb"
"307","10.1128/spectrum.03427-23"," biochar amf use"
"308","10.1128/spectrum.03427-23"," pb bioavailable"
"309","10.1080/15226514.2024.2315471","treatments relative"
"310","10.1080/15226514.2024.2315471"," ammonium"
"311","10.1080/15226514.2024.2315471"," organic matter"
"312","10.1080/15226514.2024.2315471"," amf"
"313","10.1080/15226514.2024.2315471"," chemical remediation"
"314","10.1080/15226514.2024.2315471"," the inoculation"
"315","10.1080/15226514.2024.2315471"," sediment scraping"
"316","10.1080/15226514.2024.2315471"," sodium ether-amine"
"317","10.1080/15226514.2024.2315471"," double inoculation"
"318","10.1080/15226514.2024.2315471"," bioremediation  "
"319","10.1080/15226514.2024.2315471"," physical remediation"
"320","10.1080/15226514.2024.2315471"," response"
"321","10.1080/15226514.2024.2315471"," bioremediation inoculation"
"322","10.1080/15226514.2024.2315471"," four treatments"
"323","10.3389/fpls.2024.1303750","presence inoculation"
"324","10.3389/fpls.2024.1303750"," short chain chito-oligosaccharides co"
"325","10.3389/fpls.2024.1303750"," presence absence"
"326","10.3389/fpls.2024.1303750"," inoculated co-treated"
"327","10.3389/fpls.2024.1303750"," co treatment"
"328","10.3389/fpls.2024.1303750"," the co treatment"
"329","10.3389/fpls.2024.1303750"," am"
"330","10.3389/fpls.2024.1303750"," am fungal"
"331","10.3389/fpls.2024.1303750"," chito-oligosaccharides co"
"332","10.3389/fpls.2024.1303750"," inoculated inoculated"
"333","10.3389/fpls.2024.1303750"," the combination"
"334","10.3389/fpls.2024.1303750"," control inoculated inoculated co-treated"
"335","10.3389/fpls.2024.1303750"," the presence absence"
"336","10.3389/fpls.2024.1303750"," am fungi"
"337","10.3389/fpls.2024.1303750"," control inoculated"
"338","10.1016/j.heliyon.2024.e24820","different mycorrhizae"
"339","10.1016/j.heliyon.2024.e24820"," nv amfs"
"340","10.1016/j.heliyon.2024.e24820"," fertilizer"
"341","10.1016/j.heliyon.2024.e24820"," mbc"
"342","10.1016/j.heliyon.2024.e24820"," amf different inoculations conditions"
"343","10.1016/j.heliyon.2024.e24820"," amf"
"344","10.1016/j.heliyon.2024.e24820"," five inoculations"
"345","10.1016/j.heliyon.2024.e24820"," amf inoculations"
"346","10.1016/j.heliyon.2024.e24820"," all treatments"
"347","10.1016/j.heliyon.2024.e24820"," % % amfs"
"348","10.1016/j.heliyon.2024.e24820"," mixed mycorrhiza"
"349","10.1016/j.heliyon.2024.e24820"," cv"
"350","10.1016/j.heliyon.2024.e24820"," cv fasciculatum"
"351","10.1016/j.heliyon.2024.e24820"," five different mycorrhizae"
"352","10.1016/j.heliyon.2024.e24820"," cv amfs gi"
"353","10.1016/j.heliyon.2024.e24820"," cv treatments"
"354","10.1016/j.heliyon.2024.e24820"," nv"
"355","10.1016/j.heliyon.2024.e24820"," cv l."
"356","10.1016/j.scitotenv.2024.170417","moderate severe"
"357","10.1016/j.scitotenv.2024.170417"," control plants"
"358","10.1016/j.scitotenv.2024.170417"," moderate water"
"359","10.1016/j.scitotenv.2024.170417"," drought severe"
"360","10.1016/j.scitotenv.2024.170417"," co-inoculation"
"361","10.1016/j.scitotenv.2024.170417"," co-inoculation amf-pgpr"
"362","10.1016/j.scitotenv.2024.170417"," combination"
"363","10.1016/j.scitotenv.2024.170417"," amf"
"364","10.1016/j.scitotenv.2024.170417"," severe water"
"365","10.1016/j.scitotenv.2024.170417"," drought"
"366","10.1016/j.scitotenv.2024.170417"," (well-watered"
"367","10.1016/j.scitotenv.2024.170417"," water levels"
"368","10.1016/j.scitotenv.2024.170417"," control"
"369","10.1016/j.scitotenv.2024.170417"," amf pgpr"
"370","10.1016/j.scitotenv.2024.170417"," pgpr"
"371","10.1016/j.scitotenv.2024.170417"," combined"
"372","10.3390/microorganisms12010075","soil am"
"373","10.3390/microorganisms12010075"," amf"
"374","10.3390/microorganisms12010075"," otus"
"375","10.3390/microorganisms12010075"," am"
"376","10.3390/microorganisms12010075"," am fungal"
"377","10.3390/microorganisms12010075"," the inoculum"
"378","10.1007/s11356-024-31870-9","either alone combination"
"379","10.1007/s11356-024-31870-9"," biochar with without"
"380","10.1007/s11356-024-31870-9"," biochar treatments"
"381","10.1007/s11356-024-31870-9"," cd amf"
"382","10.1007/s11356-024-31870-9"," cd the soil"
"383","10.1007/s11356-024-31870-9"," sterilized amf"
"384","10.1007/s11356-024-31870-9"," amf biochar"
"385","10.1007/s11356-024-31870-9"," biochar"
"386","10.1007/s11356-024-31870-9"," single fungal"
"387","10.1007/s11356-024-31870-9"," mixed-fungi"
"388","10.1007/s11356-024-31870-9"," inoculation mixture"
"389","10.1007/s11356-024-31870-9"," the combination"
"390","10.1007/s11356-024-31870-9"," mixed-fungi inoculation"
"391","10.1007/s11356-024-31870-9"," amf biochar alone"
"392","10.1007/s11356-024-31870-9"," amf"
"393","10.1007/s11356-024-31870-9"," biochar alone"
"394","10.1007/s11356-024-31870-9"," cd treatments"
"395","10.1007/s11356-024-31870-9"," cadmium"
"396","10.1007/s11356-024-31870-9"," inoculation dual"
"397","10.1007/s11356-024-31870-9"," biochar rice-husk"
"398","10.1007/s11356-024-31870-9"," combined"
"399","10.1007/s11356-024-31870-9"," alone combination"
"400","10.1007/s11356-024-31870-9"," amf alone"
"401","10.1007/s11356-024-31870-9"," biochar application"
"402","10.1007/s11356-024-31870-9"," cd"
"403","10.1007/s11356-024-31870-9"," cd amf biochar"
"404","10.1007/s11356-024-31870-9"," cd soil"
"405","10.1007/s11356-024-31870-9"," alone"
"406","10.1002/jobm.202300424","g.m c.t"
"407","10.1002/jobm.202300424"," the inoculation"
"408","10.1002/jobm.202300424"," g.e + c.t"
"409","10.1002/jobm.202300424"," combined application"
"410","10.1002/jobm.202300424"," four amfs"
"411","10.1002/jobm.202300424"," c.t"
"412","10.1002/jobm.202300424"," se"
"413","10.1002/jobm.202300424"," g.e"
"414","10.1002/jobm.202300424"," g.m g.e inoculated"
"415","10.1002/jobm.202300424"," inoculation amfs"
"416","10.1002/jobm.202300424"," when inoculated"
"417","10.1002/jobm.202300424"," g.m g.e"
"418","10.1002/jobm.202300424"," c.t   inoculated"
"419","10.1002/jobm.202300424"," amf"
"420","10.1002/jobm.202300424"," inoculation amfs all"
"421","10.1002/jobm.202300424"," g.m g.e c.t   inoculation"
"422","10.1002/jobm.202300424"," g.m c.t c.t   inoculation"
"423","10.1002/jobm.202300424"," four"
"424","10.1002/jobm.202300424"," amfs"
"425","10.1002/jobm.202300424"," g.m"
"426","10.1002/jobm.202300424"," selenium se"
"427","10.1007/s12298-023-01369-7","al stress"
"428","10.1007/s12298-023-01369-7"," control plants"
"429","10.1007/s12298-023-01369-7"," amf"
"430","10.1007/s12298-023-01369-7"," aluminum al"
"431","10.1007/s12298-023-01369-7"," al"
"432","10.1007/s12298-023-01369-7"," environmental stresses"
"433","10.1007/s10123-023-00466-7","amf inoculation"
"434","10.1007/s10123-023-00466-7"," change-exacerbated drought"
"435","10.1007/s10123-023-00466-7"," t123 plants inoculated"
"436","10.1007/s10123-023-00466-7"," a combination non-inoculated control treatment"
"437","10.1007/s10123-023-00466-7"," t2"
"438","10.1007/s10123-023-00466-7"," water availability"
"439","10.1007/s10123-023-00466-7"," combination t123"
"440","10.1007/s10123-023-00466-7"," inoculation combination t123 treatment"
"441","10.1007/s10123-023-00466-7"," t1 t2"
"442","10.1007/s10123-023-00466-7"," t1"
"443","10.1007/s10123-023-00466-7"," t3"
"444","10.1007/s10123-023-00466-7"," inoculation etunicatum irregularis combination"
"445","10.1007/s10123-023-00466-7"," t3 control"
"446","10.1007/s10123-023-00466-7"," t3 t123"
"447","10.1007/s10123-023-00466-7"," non-inoculated treatment"
"448","10.1007/s10123-023-00466-7"," inoculated plants"
"449","10.1007/s10123-023-00466-7"," the t3 control"
"450","10.1007/s10123-023-00466-7"," three"
"451","10.1007/s10123-023-00466-7"," control treatment"
"452","10.1007/s10123-023-00466-7"," uninoculated plants"
"453","10.1007/s10123-023-00466-7"," amf multiple"
"454","10.1007/s10123-023-00466-7"," t123 inoculated the plants inoculated"
"455","10.1007/s10123-023-00466-7"," three levels"
"456","10.1007/s10123-023-00466-7"," the control"
"457","10.1007/s10123-023-00466-7"," t123"
"458","10.1111/nph.19493","conventionally tilled"
"459","10.1111/nph.19493"," fertilization"
"460","10.1111/nph.19493"," am fungal"
"461","10.1111/nph.19493"," am"
"462","10.1111/nph.19493"," tillage fertilizers"
"463","10.1111/nph.19493"," no-till"
"464","10.1111/nph.19493"," fertilized"
"465","10.1111/nph.19493"," soil inoculum"
"466","10.1111/nph.19493"," tillage fertilizers monoculture"
"467","10.1111/nph.19493"," continuous monoculture"
"468","10.1111/nph.19493"," conventional low-input"
"469","10.1111/nph.19493"," tillage fertilization"
"470","10.1111/nph.19493"," tillage experiment"
"471","10.1111/nph.19493"," no-tilled"
"472","10.1111/nph.19493"," unfertilized"
"473","10.3390/plants12244171","water starvation"
"474","10.3390/plants12244171"," water stress"
"475","10.3390/plants12244171"," stress"
"476","10.3390/plants12244171"," inoculation procedures"
"477","10.3390/plants12244171"," amf"
"478","10.3390/plants12244171"," hmc26"
"479","10.3390/plants12244171"," the inoculation claroideum"
"480","10.3390/plants12244171"," trolox"
"481","10.3390/plants12244171"," cc"
"482","10.3390/plants12244171"," hmc26 mix cc + hmc26"
"483","10.3390/plants12244171"," the mix"
"484","10.3390/plants12244171"," g hmc26 0.9"
"485","10.3390/plants12244088","agri mycorrhiza"
"486","10.3390/plants12244088"," am"
"487","10.3390/plants12244088"," artificial inoculation treatment"
"488","10.3390/plants12244088"," drought"
"489","10.3390/plants12244088"," the inoculation treatment additional am inoculation"
"490","10.3390/plants12244088"," am fungi"
"491","10.3390/plants12244088"," treatment am inoculation"
"492","10.3390/jof9121152","co-inoculated"
"493","10.3390/jof9121152"," an fungi amf"
"494","10.3390/jof9121152"," single epf"
"495","10.3390/jof9121152"," an amf co-inoculation strains"
"496","10.3390/jof9121152"," co-inoculated with"
"497","10.3390/jof9121152"," plant-endophyte consortia"
"498","10.3390/jof9121152"," the treatments"
"499","10.3390/jof9121152"," co-inoculation"
"500","10.3390/jof9121152"," amf"
"501","10.3390/jof9121152"," amf epf co-inoculated"
"502","10.3390/jof9121152"," epf"
"503","10.3390/jof9121152"," amf ks-02 pbmp16"
"504","10.3390/jof9121152"," inoculation"
"505","10.3390/jof9121152"," amf epf"
"506","10.3390/jof9121152"," four"
"507","10.3390/jof9121152"," non-inoculated"
"508","10.3390/jof9121152"," epf co-inoculated"
"509","10.3390/jof9121152"," single inoculants"
"510","10.3390/jof9121152"," dual inoculation"
"511","10.3390/plants12234012","amf inoculation"
"512","10.3390/plants12234012"," treatment mg-cc"
"513","10.3390/plants12234012"," non-inoculated inoculated ny combination"
