DOI,TREATMENT,INOCTYPE,RESPONSE,SOILTYPE,FIELDGREENHOUSE,LANDUSE,ECOTYPE,ECOREGION,LOCATION
10.3390/jof9121152,an fungi AMF; single EPF; inoculation; co-inoculation; the treatments; single inoculants; an AMF co-inoculation strains; plant-endophyte consortia; four; EPF,Arbuscular mycorrhizal fungi (AMF); endophytic fungi,biomass; Plant growth; the growth production,,pot,sustainable agriculture; agricultural,,,
10.3390/agronomy9010041,irrigated; Si AMF clarus; Si D AMF L−1; Si AMF; Si; water; Published; drought D; Si inoculation,Rhizophagus clarus; arbuscular mycorrhizal fungus (AMF),growth relations mycorrhization concentration status; plant biomass,,,,strawberry; Strawberry,,
10.1111/j.1365-2486.2006.01279.x,ECM; AM fungi; three; AM ECM; control N-fertilized; N fertilization; CA; AM ECM root-associated; mycorrhizal fungi; severe ﬁre; USA Abstract Mycorrhizal fungi; AM,arbuscular mycorrhizal (AM); University Biological Sciences; ectomycorrhizal (ECM) ECM; University Sciences Stanford Stanford,,,,N-fertilized,California Irvine; University of Gainesville,Alaskan boreal ecosystems,USA wDepartment; USA; USA zDepartment; Alaskan
10.3390/plants12244171,water stress,,,,,the common crops,potato; Solanum tuberosum,,
10.3390/plants9010080,content PSII Fv/Fm; drought C control; in-land; AM; Mycorrhizal inoculation; drought control; control plants; NM; R; irrigation; non-mycorrhizal; Accepted; SE; drought; Published Abstract; bio-amelioration; AMF; non-mycorrhizal NM; autochthone AMF,arbuscular mycorrhizal fungi,growth; plant growth; Carob growth production ecosystems; growth physiological content parameters,coastal,,climate change-induced droughts,southern ecotype; carob; northern ecotype; Ceratonia siliqua; Carob siliqua; arid,semi-arid ecosystems,
10.3390/jof9050540,excess; species inoculants; no mycorrhizae; without AMF; low surface moisture; native AMF; AMF treatments; NAT combined; AMF tion inocula‑ treatments; three treatments; MIX NAT; low nutrient; CON MIX; treatment; treatments CON mycorrhizae MIX; AMF; CON; inoculate; excess P,imperialis B.; imperialis B. excess P.,root biomass,,,impacted,Bellucia imperialis; P. B.; pioneer; imperialis B.,,the Central Amazon
10.3390/plants11070861,R FR; parasitoids; AMF; mycorrhizal non-mycorrhizal; water nutrients; FR light; low R; mycorrhizal inoculation,Beneﬁcial soil microbes; Cotesia marginiventris; the shade avoidance syndrome SAS; the parasitoid Cotesia marginiventris; arbuscular mycorrhizal fungus,biomass; plant growth; growth,,,,lycopersicum tomato; Solanum lycopersicum tomato chalcites; Solanum lycopersicum,,
10.3390/agronomy7040075,Combining; AMF; AM; responses sometimes zero; AM plants; phosphate; fertilizer; symbiotic microorganisms; Published Abstract; AM-colonized,Arbuscular mycorrhizal fungi (AMF); arbuscular mycorrhizal (AM); arbuscular mycorrhiza,growth,,,agronomic; high-yielding disease-resistant crops; crops; crop,,,
10.1007/s11356-015-5094-2,,arbuscular mycorrhizal fungi (AMF),sativa growth,,greenhouse pot,,Hieracium pilosella; Medicago sativa,,
10.1007/s11738-013-1402-y,proteome metabolome; drought salinity ﬂooding etc; drought salinity; UV; protein groups,,crop yield; plant growth,,,crop; heavy metals,,,
,,,,,,,,,
10.3389/fpls.2022.965576,,,,,,,,,
10.3390/molecules26175321,EO; EO displaying; EO the tested one; mycorrhizal inoculant; EO tested all; distilled; mycorrhizal inoculation,,biomass; growth production,polluted soils; trace element (TE)-polluted soil,,polluted,clary sage; linalool; coriander; Coriandrum sativum; Salvia sclarea; % linalool,marginal lands,
10.3389/fpls.2017.01966,,,,,,,,,
,,,,,,,,,
10.3389/fpls.2022.880181,,,,,,,,,
10.1038/s41598-020-59447-9,,,,,,,,,
10.3389/fpls.2022.993301,,,,,,,,,
10.3389/fpls.2013.00533,MU HE AZ; http://www.frontiersin.org/journal/10.3389/fpls.2013.00533/; MU AZ; Ubiquitin; MU HE; -P [+NK,et Willmann,Figure | maize S2 Growth,,,,maize pht1;6 mutant; cobs; maize,,
10.1038/s41558019-0545-2,,eCO2,biomass; biomass based; plant biomass,,,,eCO2,,
10.1038/ismej.2010.171,,,,,,,,,
10.3389/fpls.2015.01143,,,,,,,,,
10.1007/s00442-023-05329-6,,,,,,,,,
10.1038/s41598-019-46743-2,,,,,,,,,
,,,,,,,,,
10.3389/fpls.2019.01068,,,,,,,,,
10.3389/fpls.2019.01068,,,,,,,,,
10.3389/fpls.2023.1134995,,,,,,,,,
10.3389/fpls.2016.00276,,,,,,,,,
10.3389/fpls.2017.00931,,,,,,,,,
10.1371/journal.pone.0101487,Gamper HA; Agriculture; AMF; Khoshgoftarmanesh AH; ZnSO4 fertilizer; Zu; inoculating; ZnSO4; Agricultural; sole; Inoculating; Jan Jansa5; Radioanalytics Laboratory; Citation,Agricultural Sciences; AMF inoculation; nonindigenous AMF; Isfahan Isfahan University; arbuscular mycorrhizal fungal (AMF),plant biomass,calcareous soil,pot,Zinc Institute Switzerland deficiency,Bread Wheat; Terrestrial Ecosystems; wheat bread; red clover,,Institute Switzerland; Czech Republic; Switzerland College; Switzerland
10.1038/ismej.2009.122,,,,,,,,,
,,,,,,,,,
10.1007/s00374-012-0669-2,Non-inoculated; AM fungal; Inoculated non-inoculated transplanted; four available soil; ha−1 superphosphate; noninoculated; non-inoculated; inoculating; inoculated plants; control; AM fungus Percentage; non-sterile; AM fungus; Inoculated non-inoculated,indigenous AM fungi; arbuscular mycorrhizal (AM); Glomus,growth yield; the growth uptake yield; the grown yields plant−1; weight Yield; containing Yield; dry weight,,field; a glasshouse; a field,,Allium fistulosum; Welsh onion,,
10.3389/fpls.2022.845794,,,,,,,,,
10.1038/s41598-019-39463-0,,,,,,,,,
10.1890/11-1691.1,AMF; antagonists mutualists,Insect Sciences University; arbuscular mycorrhizal fungi (AMF); Sciences Life Amsterdam; Sciences University; arbuscular mycorrhizal fungi; effects fungi Acalymma vittatum; University Massachusetts Amherst; Acalymma vittatum,plant growth; plant growth used,,,pollination,"NICHOLAS A. ADLER,1 NINA THEIS,2; V. HAZZARD,1; Cucumis sativus; Netherlands; America; cucumber Cucurbitaceae",,College Chicopee 3Department; Amherst 2Department; Elms College Chicopee
10.3389/fpls.2022.968719,,,,,,,,,
10.1038/s41396-018-0059-3,Acidobacteria; soil microbial communities; low soil; AMF; AMF-suppressive; soil microbiome; ERM The; ERM; soil pasteurisation,Arbuscular mycorrhizal fungi (AMF),,,,,,,
10.3390/toxics10100565,AMF; Se; Ce Fm; inoculation; Se DDI; Selenium Se; (DDI); fertilization; Se Selenium,Claroideoglomus etunicatum; Claroideoglomus etunicatum Ce mosseae; etunicatum Funneliformis mosseae Fm; Arbuscular mycorrhizal fungi (AMF); Funneliformis mosseae,soybean accumulation speciation biomass,,pot,,Glycine; soybean; Soybean,,
10.3389/fpls.2013.00206,,,,,,,,,
10.3389/fpls.2015.00081,,,,,,,,,
10.1016/j.catena.2016.07.037,,,,,,,,,
10.1017/S0007114508922522,,,,,,,,,
10.1007/s13593-011-0029x,# INRA B.V. Salinity; irrigated; AMF; sodium; saline conditions; salinity; salt sensitiveness; chaperone; INRA Abstract Salinity; Salinity; K+/Na+; salt stress,Arbuscular mycorrhizal fungi; Aroca Abbreviations acid R. ): Simbióticos; Arbuscular mycorrhizal plants; arbuscular mycorrhizal fungi; Arbuscular mycorrhizal fungus BAS Branched-absorbing structure CNGC Cyclic nucleotide-gated channel; arbuscular mycorrhizal fungi negatively; arbuscular mycorrhizal,growth improved performance; plant growth,,,salt-tolerant crops; crop; salinized,Sistemas Simbióticos; Dev; Rosa,,Spain
10.1038/ismej.2010.5,,,,,,,,,
,suitable AM fungi; rock phosphate RP; AM inoculation; HM-stress; mycorrhiza fungi; phosphate RP; drought; conditions drought; sugar beet; heavy metal; water; phosphate solubilization; SB; combined treatments; nutrient deficiency; bioremediation; water stress,Arbuscular mycorrhiza (AM); arbuscular  mycorrhizal (AM); Aspergillus,growth; Plant growth; plant heavy,semi-arid soils; contaminated sites; agro-waste residue-amended soil,,  a successful re-afforestation;   metal HM contamination stress; Corresponding author; metal HM contamination stress; degradation,especially P.  ; arid sites; olive cake; dry olive cake DOC,Mediterranean  ; semiarid,
10.3389/fpls.2016.00730,,,,,,,,,
10.1038/s41598-021-97674-w,,,,,,,,,
10.1371/journal.pone.0259959,with; FC; all water; AM fungi; without AM inoculation; water deficit-mediated; inoculation treatments; AM; soil water; deficit-mediated,Rhizophagus intraradices; arbuscular mycorrhizal (AM),biomass; seedling growth; the growth photosynthesis system,,,,Euonymus maackii; E. maackii,,
10.1007/s11104-015-2388-6,,arbuscular mycorrhizal fungi (AMF),,,pot,,V. tricolor; Viola tricolor,,
,,,,,,,,,
10.1038/srep20469,,,,,,,,,
10.3389/fpls.2018.01611,,,,,,,,,
10.3390/plants12091908,soil microorganism; without; untreated; AMF+; fertilizer; AM; with AMF+; fertilization,Arbuscular Mycorrhizal Fungi (AMF); AMF inoculation,growth productivity,,,crop; crop two-rowed barley; conventional organic cropping,barley,,
10.3390/plants12112195,AMF; P addition exogenous; phosphorus addition; three; no addition; P addition; without AMF; AMF inoculation levels; addition,arbuscular mycorrhizal fungi (AMF); AMF inoculation,root growth,,,,Eupatorium lindleyanum; plant Eupatorium adenophorum lindleyanum; Eupatorium adenophorum,,
10.3390/plants12244088,mixture; AM fungi; the inoculation treatment additional AM inoculation; inoculation; artiﬁcial inoculation treatment; drought; treatment AM inoculation; AM; Agri mycorrhiza,Rhizophagus irregularis; artiﬁcial inoculation; Rhizophagus irregularis inoculation; arbuscular mycorrhiza,biomass; mass,degraded,,urban; the grassland artiﬁcial restorations,artiﬁcial grassland; local The ﬂora; grasslands lawns; lawn,mesoclimatic,Törökszentmiklós; Törökszentmiklós Nagykunság Plain; Hungarian Great Plain; seed Nagykunság herbaceous; Pannon
10.3389/fpls.2021.693044,,,,,,,,,
10.3389/fpls.2024.1364469,,,,,,,,,
10.3389/fmicb.2014.00682,,,,,,,,,
10.3390/plants8070197,Se plant; Se; pathogens; Se hyperaccumulation; pathogens defense; pathogens neighbors; Published Abstract,,,,,,,,
10.1016/j.gexplo.2016.11.021,,,,,,,,,
10.1038/srep19990,,,,,,,,,
10.3389/fpls.2024.1385245,,,,,,,,,
10.1007/s11104-013-1621-4,mycorrhizae intraradices; loam Luvisol Kohler-Milleret; earthworms mycorrhizae; earthworms chlorotica plants,Allolobophora; Glomus intraradices,,,,,Allium porrum; unstable silt loam; Petunia hybrida; Allolobophora chlorotica; petunia; leek,,production Roxane Kohler-Milleret Bayon
10.3389/fpls.2015.00280,,,,,,,,,
10.1016/j.chemosphere.2009.01.056,,,,,,,,,
10.1038/ismej.2010.5,,,,,,,,,
10.1038/ismej.2009.122,,,,,,,,,
10.3390/plants12030547,soil cadmium stress; soil Cd; Cd,arbuscular mycorrhizal fungi (AMF); AMF inoculation,the growth ﬂuorescence uptake content,contaminated soils,pot experiment,metal contamination; heavy metal; Heavy metal; Remediation,Medicago truncatula,,
,salt stress; mM NaCl; non-stress; hydroponic experiment,,,,,Corresponding   author,T.  ; wheat; aestivum,,
,,,,,,,,,
10.3389/fpls.2023.1101932,,,,,,,,,
10.1038/s41396-020-0648-9,Bacillus; other rhizosphere bacteria,Rhizobia; bradyrhizobia sinorhizobia; bradyrhizobia; cereus; Bacillus; rhizobia bacteria,the growth,alkaline soil,,,soybean; The soybean rhizosphere,,
,,,,,,,cannabis como; cannabis; História da como; revisão Abstract Cannabis; cannabis História da da como medicamento,,India; Asia; Christian
10.1038/s41598-018-32529-5,,,,,,,,,
10.1007/s11104-015-2388-6,,arbuscular mycorrhizal fungi (AMF),,,pot,,V. tricolor; Viola tricolor,,
10.3390/agriculture9050110,Myco Apply DR; beneﬁcial microorganisms; four soil; non-treated control; AMF; AMF-based; EC inoculation; factorial combination; a non-inoculated control; AMF-based treatments; inoculated plants; salinity; soil salinity; control plants; non-inoculated control; Published Abstract,arbuscular mycorrhizal fungi (AMF); Rizotech,higher yield production; tomato yield performances; the highest yield,,greenhouse,,greenhouse tomato plum; Solanum; plum; tomato “ plum; lycopersicum; tomato,,southern Italy
10.1016/j.sajb.2010.05.003,Agriculture; Cadmium; Cd; cadmium Cd; Cd stress; RWC; Elsevier B.V.; Cadmium Macronutrients; SA; SA treatment,Botany; University New Delhi; Saudi Arabia; University Hamdard Delhi; Baramulla College,growth decreased biomass; shoot biomass; Published; growth; the growth,,,,Brassica juncea; P. Ahmad; mustard juncea L. Czern Coss; mustard; mustard plants; mustard Czern,,India; Pakistan; University Kashmir; Baramulla; University King Saud Riyadh; University
10.1126/science.1084269,,,,,,,,,
,,,,,,,,,
10.3390/plants11131743,University Faculty; fertilizers; different treatments; Cluj-Napoca; AMF; T1 T2; T1 control; inoculated; T1 fertigation; Agricultural; Transversal Competences; treatments T1 control colonization T2 fertigation; mycorrhizae; Faculty Agriculture; fungi roots T3; without mycorrhizae; without fertilizer; three treatments,Agricultural Sciences; arbuscular mycorrhizal fungi (AMF); Arbuscular mycorrhizal fungi (AMF),vegetative biomass,,,agronomic; crop,lycopersicum; Solanum; tomato; tomatoes L.,,
10.3389/fpls.2023.1222557,,,,,,,,,
