DOI,STUDY,TREATMENT,RESPONSE,CARDINAL,SE,PERCENTAGE,SENTENCE,ISTABLE
10.3390/microorganisms8020230,32046366,plant species x amf,root biomass,,,,shoot biomass p or obr,99
10.3390/microorganisms8020230,32046366,earthworm x amf,biomass,,,,shoot biomass p or obr,99
10.3390/microorganisms8020230,32046366,plant species x earthworm x amf,biomass,,,,shoot biomass p or obr,99
10.3390/microorganisms8020230,32046366,residuals ms,biomass,,,,shoot biomass p or obr,99
10.3390/microorganisms8020230,32046366,plant species x amf,biomass,,,,shoot biomass nan pl t,99
10.3390/microorganisms8020230,32046366,earthworm x amf,biomass,,,,shoot biomass nan pl t,99
10.3390/microorganisms8020230,32046366,plant species x earthworm x amf,biomass,,,,shoot biomass nan pl t,99
10.3390/microorganisms8020230,32046366,residuals ms,biomass,,,,shoot biomass nan pl t,99
10.3390/plants10050950,34068692,,albareda,,,,reference afzal et al. 2012ém 2001 amein and weber 2002 et al. 2004 et al. 2003 2004 et al. 2006 and kumar 2002 et al. 2001 2006 carrillogarcia et al. 2000 domingueznufiez et al. 2012 2007 et al. 2003 et al. albareda et al. 2008,99
10.3389/fpls.2022.845794,35958223,tl,dry weight,,,,root dry weight g,99
10.3389/fpls.2022.845794,35958223,t2,dry weight,0.8,0.05,,root dry weight g,99
10.3389/fpls.2022.845794,35958223,t3,dry weight,0.8,0.45,,root dry weight g,99
10.3389/fpls.2022.845794,35958223,t4,dry weight,,,,root dry weight g,99
10.3389/fpls.2022.845794,35958223,ftest,dry weight,,,,root dry weight g,99
10.3390/jof9060677,37367613,,biomass,1.96,0.05,,biomass gpot1 stem dry weight 1.55  0.06,99
10.3390/jof9060677,37367613,,biomass,1.15,0.06,,biomass gpot1 stem dry weight 1.55  0.06,99
10.3390/jof9060677,37367613,,biomass,3.6,0.1,,root dry weight 3.42  0.08,99
10.3390/jof9060677,37367613,,dry weight,2.6,0.06,,root dry weight 3.42  0.08,99
10.3390/jof9060677,37367613,,biomass,1.4,0.03,,biomass gpot1 stem dry weight 1.51  0.06,99
10.3390/jof9060677,37367613,,biomass,1.77,0.05,,biomass gpot1 stem dry weight 1.51  0.06,99
10.3390/jof9060677,37367613,,biomass,0.62,0.04,,biomass gpot1 stem dry weight 1.51  0.06,99
10.3390/jof9060677,37367613,,biomass,3.12,0.1,,root dry weight 3.13  0.07,99
10.3390/jof9060677,37367613,,dry weight,3.51,0.06,,root dry weight 3.13  0.07,99
10.3390/jof9060677,37367613,,dry weight,1.99,0.08,,root dry weight 3.13  0.07,99
10.3390/jof9060677,37367613,,biomass,0.55,0.02,,biomass gpot1 stem dry weight 1.27  0.06,99
10.3390/jof9060677,37367613,,biomass,1.38,0.06,,biomass gpot1 stem dry weight 1.27  0.06,99
10.3390/jof9060677,37367613,,biomass,1.86,0.07,,root dry weight 2.49 0.10,99
10.3390/jof9060677,37367613,,dry weight,2.63,0.08,,root dry weight 2.49 0.10,99
10.3390/jof9060677,37367613,as,biomass,0.806,0.588,,biomass,99
10.3390/jof9060677,37367613,mda,biomass,0.923,,,biomass,99
10.3390/jof9060677,37367613,npt,biomass,0.584,,,biomass,99
10.3390/jof9060677,37367613,cat,biomass,0.244,,,biomass,99
10.3390/jof9060677,37367613,pod,biomass,0.537,,,biomass,99
10.3390/jof9060677,37367613,sod,biomass,0.725,,,biomass,99
10.3390/plants10091948,34579480,rizotech,yield,520.8,,,marketable fruits yield g per plant mycorrhizalbased formulate,99
10.3390/plants10091948,34579480,myco apply,yield,536.2,,,marketable fruits yield g per plant mycorrhizalbased formulate,99
10.3390/plants10091948,34579480,rizotech,yield,24.0,,,nan mean weight g mycorrhizalbased formulate,99
10.3390/plants10091948,34579480,myco apply,mean weight,24.3,,,nan mean weight g mycorrhizalbased formulate,99
10.3390/plants10091948,34579480,1.57,yield,373.6,,,marketable fruits yield g per plant 395.8,99
10.3390/plants10091948,34579480,1.57,yield,21.3,,,nan mean weight g 21.7,99
10.3390/plants10091948,34579480,4.57,yield,568.0,,,marketable fruits yield g per plant 509.4,99
10.3390/plants10091948,34579480,6.07,yield,485.9,,,marketable fruits yield g per plant 509.4,99
10.3390/plants10091948,34579480,4.57,yield,24.7,,,nan mean weight g 24.0,99
10.3390/plants10091948,34579480,6.07,mean weight,23.2,,,nan mean weight g 24.0,99
10.3390/microorganisms8030364,32143469,annuals and biennials,biomass,61.699,,,relative biomass ,99
10.3390/microorganisms8030364,32143469,,biomass,0.084,,,relative biomass ,99
10.3390/microorganisms8030364,32143469,,biomass,0.024,,,relative biomass ,99
10.3390/microorganisms8030364,32143469,,biomass,0.018,,,relative biomass ,99
10.3390/microorganisms8030364,32143469,,biomass,0.014,,,relative biomass ,99
10.3390/microorganisms8030364,32143469,,biomass,0.001,,,relative biomass ,99
10.3390/microorganisms8030364,32143469,,biomass,0.391,,,relative biomass ,99
10.3390/microorganisms8030364,32143469,,biomass,0.216,,,relative biomass ,99
10.3390/microorganisms8030364,32143469,,biomass,0.001,,,relative biomass ,99
10.3390/microorganisms8030364,32143469,,biomass,1.838,,,relative biomass ,99
10.3390/microorganisms8030364,32143469,,biomass,0.343,,,relative biomass ,99
10.3390/microorganisms8030364,32143469,,biomass,0.032,,,relative biomass ,99
10.3390/microorganisms8030364,32143469,perennial forbs,biomass,1.115,,,relative biomass ,99
10.3390/microorganisms8030364,32143469,,biomass,0.719,,,relative biomass ,99
10.3390/microorganisms8030364,32143469,,biomass,0.023,,,relative biomass ,99
10.3390/microorganisms8030364,32143469,,biomass,0.262,,,relative biomass ,99
10.3390/microorganisms8030364,32143469,,biomass,0.192,,,relative biomass ,99
10.3390/microorganisms8030364,32143469,,biomass,1.096,,,relative biomass ,99
10.3390/microorganisms8030364,32143469,,biomass,0.202,,,relative biomass ,99
10.3390/microorganisms8030364,32143469,,biomass,0.067,,,relative biomass ,99
10.3390/microorganisms8030364,32143469,,biomass,0.001,,,relative biomass ,99
10.3390/microorganisms8030364,32143469,,biomass,0.001,,,relative biomass ,99
10.3390/microorganisms8030364,32143469,,biomass,4.079,,,relative biomass ,99
10.3390/microorganisms8030364,32143469,,biomass,0.053,,,relative biomass ,99
10.3390/microorganisms8030364,32143469,,biomass,0.082,,,relative biomass ,99
10.3390/microorganisms8030364,32143469,perennial rhizome grasses perennial bunch grasses shrubs and semishrubs,biomass,,,,relative biomass ,99
10.3390/microorganisms8030364,32143469,,biomass,0.617,,,relative biomass ,99
10.3389/fpls.2022.880181,35615141,amf,biomass,3.6,0.79,,shoot biomass gpot,99
10.3389/fpls.2022.880181,35615141,ami,biomass,0.65,0.15,,shoot biomass gpot,99
10.3389/fpls.2022.880181,35615141,ck,biomass,0.04,0.01,,shoot biomass gpot,99
10.3389/fpls.2022.880181,35615141,amf,biomass,1.32,0.29,,root biomass gpot1,99
10.3389/fpls.2022.880181,35615141,ami,root biomass,0.29,0.09,,root biomass gpot1,99
10.3389/fpls.2022.880181,35615141,ck,root biomass,0.03,0.01,,root biomass gpot1,99
10.3389/fpls.2022.880181,35615141,amf,root biomass,4.9323,1.05,,individual plant biomass gpot,99
10.3389/fpls.2022.880181,35615141,ami,root biomass,0.9459,0.24,,individual plant biomass gpot,99
10.3389/fpls.2022.880181,35615141,ck,plant biomass,0.0684,0.02,,individual plant biomass gpot,99
10.3390/plants9070804,32604987,control,yield,110311.1,,,yield kg ha soybean,99
10.3390/plants9070804,32604987,se as selenate,yield,145219.7,,,yield kg ha soybean,99
10.3390/plants9070804,32604987,control,yield,347716.3,,,yield kg ha potato dw,99
10.3390/plants9070804,32604987,se as selenate,yield,307122.1,,,yield kg ha potato dw,99
10.3390/plants9070804,32604987,control,yield,213314.7,,,yield kg ha canola,99
10.3390/plants9070804,32604987,se as selenate,yield,155822.5,,,yield kg ha canola,99
10.3390/plants9070804,32604987,control,yield,267520.4,,,yield kg ha cabbage dw,99
10.3390/plants9070804,32604987,se as selenate,yield,320518.9,,,yield kg ha cabbage dw,99
10.3390/plants9070804,32604987,zn,yield,174927.0,,,yield kg ha 119226.9,99
10.3390/plants9070804,32604987,i,yield,163621.6,,,yield kg ha 119226.9,99
10.3390/plants9070804,32604987,sezni,yield,134424.6,,,yield kg ha 119226.9,99
10.3390/plants9070804,32604987,zn,yield,342418.0,,,yield kg ha 34619.5,99
10.3390/plants9070804,32604987,i,yield,319123.4,,,yield kg ha 34619.5,99
10.3390/plants9070804,32604987,sezni,yield,316113.8,,,yield kg ha 34619.5,99
10.3390/plants9070804,32604987,zn,yield,260412.8,,,yield kg ha nan,99
10.3390/plants9070804,32604987,i,yield,228316.1,,,yield kg ha nan,99
10.3390/plants9070804,32604987,sezni,yield,181520.3,,,yield kg ha nan,99
10.3390/plants9070804,32604987,zn,yield,184115.4,,,yield kg ha 364413.9,99
10.3390/plants9070804,32604987,i,yield,144125.2,,,yield kg ha 364413.9,99
10.3390/plants9070804,32604987,sezni,yield,158714.7,,,yield kg ha 364413.9,99
10.3390/plants9070804,32604987,,biomass,10080.0,13.2,,biomass kg ha,99
10.3390/plants9070804,32604987,4 0.23,biomass,8737.0,8.6,,biomass kg ha,99
10.3390/plants9070804,32604987,20  0.45,biomass,9314.0,6.4,,biomass kg ha,99
10.3390/plants9070804,32604987,30  0.68,biomass,10123.0,10.4,,biomass kg ha,99
10.3390/plants9070804,32604987,46 0.91,biomass,9538.0,9.4,,biomass kg ha,99
10.3390/plants9070804,32604987,60  1.14,biomass,9092.0,14.1,,biomass kg ha,99
10.3390/plants9070804,32604987,,biomass,4182.0,12.3,,grain yield kg ha,99
10.3390/plants9070804,32604987,4 0.23,yield,3658.0,9.8,,grain yield kg ha,99
10.3390/plants9070804,32604987,20  0.45,yield,3950.0,6.9,,grain yield kg ha,99
10.3390/plants9070804,32604987,30  0.68,yield,4278.0,9.2,,grain yield kg ha,99
10.3390/plants9070804,32604987,46 0.91,yield,4080.0,8.8,,grain yield kg ha,99
10.3390/plants9070804,32604987,60  1.14,yield,3846.0,13.6,,grain yield kg ha,99
10.3390/plants10071333,34209987,control,dry mass,1.19,,,root dry mass g,99
10.3390/plants10071333,34209987,amf1,dry mass,1.23,,,root dry mass g,99
10.3390/plants10071333,34209987,amef2,dry mass,1.26,,,root dry mass g,99
10.3390/plants10071333,34209987,amef3,dry mass,1.29,,,root dry mass g,99
10.3390/plants10071333,34209987,f,dry mass,1.08,,,root dry mass g,99
10.3390/plants10071333,34209987,control,dry mass,4.978,,,fresh weight g,99
10.3390/plants10071333,34209987,amf1,weight,4.748,,,fresh weight g,99
10.3390/plants10071333,34209987,amef2,weight,4.8,,,fresh weight g,99
10.3390/plants10071333,34209987,amef3,weight,499.0,,,fresh weight g,99
10.3390/plants10071333,34209987,f,weight,1.71,,,fresh weight g,99
10.3390/plants10071333,34209987,control,weight,2.01,,,dry stem weight g,99
10.3390/plants10071333,34209987,amf1,weight,2.2,,,dry stem weight g,99
10.3390/plants10071333,34209987,amef2,stem weight,2.3,,,dry stem weight g,99
10.3390/plants10071333,34209987,amef3,stem weight,2.44,,,dry stem weight g,99
10.3390/plants10071333,34209987,f,stem weight,19.7,,,dry stem weight g,99
10.3390/plants10071333,34209987,amf20,dry mass,0.4935,,,root dry mass g,99
10.3390/plants10071333,34209987,seedling index,dry mass,0.4462,,,root dry mass g,99
10.3390/plants10071333,34209987,amf20,dry mass,0.1564,9.0,,fresh weight g,99
10.3390/plants10071333,34209987,seedling index,weight,0.4793,,,fresh weight g,99
10.3390/plants10071333,34209987,amf20,weight,0.9019,,,dry stem weight g,99
10.3390/plants10071333,34209987,seedling index,weight,0.6476,,,dry stem weight g,99
10.3390/microorganisms8111695,33143245,,biomass,,,,introduction of symbiosis i nan biomass and,99
10.3390/microorganisms8111695,33143245,,biomass,,,,introduction of symbiosis i nan biomass and,99
10.3390/microorganisms8111695,33143245,,biomass,,,,introduction of symbiosis i nan biomass and,99
10.3390/microorganisms8111695,33143245,,biomass,,,,introduction of symbiosis i nan biomass and,99
10.3390/microorganisms8111695,33143245,,biomass,,,,introduction of symbiosis i nan biomass and,99
10.3390/microorganisms8111695,33143245,,biomass,,,,introduction of symbiosis i nan biomass and,99
10.3390/microorganisms8111695,33143245,,biomass,,,,introduction of symbiosis i nan biomass and,99
10.3390/microorganisms8111695,33143245,,biomass,,,,introduction of symbiosis i nan biomass and,99
10.3390/microorganisms8111695,33143245,,biomass,,,,introduction of symbiosis i nan biomass and,99
10.3390/microorganisms8111695,33143245,,growth,,,, growth and development,99
10.3390/microorganisms8111695,33143245,atcngc3,growth,,,, growth and development,99
10.3390/molecules27061752,35335116,drough,responses,,,,observed responses,99
10.3390/molecules27061752,35335116,drough,responses,,,,observed responses,99
10.3390/molecules27061752,35335116,drough,responses,,,,observed responses,99
10.3390/molecules27061752,35335116,drough,responses,,,,observed responses,99
10.3390/molecules27061752,35335116,drough,responses,,,,observed responses,99
10.3390/molecules27061752,35335116,drough,responses,,,,observed responses,99
10.3390/molecules27061752,35335116,drought,responses,,,,observed responses,99
10.3390/molecules27061752,35335116,drought,responses,,,,observed responses,99
10.3390/molecules27061752,35335116,drought,responses,,,,observed responses,99
10.3390/molecules27061752,35335116,drough,responses,,,,observed responses,99
10.3390/molecules27061752,35335116,drough,responses,,,,observed responses,99
10.3390/molecules27061752,35335116,drough,responses,,,,observed responses,99
10.3390/molecules27061752,35335116,drough,responses,,,,observed responses,99
10.3390/molecules27061752,35335116,drough,responses,,,,observed responses,99
10.3390/molecules27061752,35335116,drough,responses,,,,observed responses,99
10.3390/molecules27061752,35335116,drough,responses,,,,observed responses,99
10.3390/molecules27061752,35335116,drough,responses,,,,observed responses,99
10.3390/molecules27061752,35335116,drough,responses,,,,observed responses,99
10.3390/molecules27061752,35335116,high temperature,responses,,,,observed responses increased grain number nutrient allocation and nutrient composition in root,99
10.3390/molecules27061752,35335116,high temperature,responses,,,,observed responses increased grain number nutrient allocation and nutrient composition in root,99
10.3390/molecules27061752,35335116,metal general,responses,,,,observed responses increased grain number nutrient allocation and nutrient composition in root,99
10.3390/molecules27061752,35335116,metals cadmium,responses,,,,observed responses increased grain number nutrient allocation and nutrient composition in root,99
10.3390/molecules27061752,35335116,metals cadmium and zinc,responses,,,,observed responses increased grain number nutrient allocation and nutrient composition in root,99
10.3390/molecules27061752,35335116,salinity,responses,,,,observed responses increased grain number nutrient allocation and nutrient composition in root,99
10.3390/molecules27061752,35335116,salinity,responses,,,,observed responses increased grain number nutrient allocation and nutrient composition in root,99
10.3390/molecules27061752,35335116,salinity,responses,,,,observed responses increased grain number nutrient allocation and nutrient composition in root,99
10.3390/molecules27061752,35335116,salinity,responses,,,,observed responses increased grain number nutrient allocation and nutrient composition in root,99
10.3390/molecules27061752,35335116,salinity,responses,,,,observed responses increased grain number nutrient allocation and nutrient composition in root,99
10.3390/molecules27061752,35335116,salinity,responses,,,,observed responses increased grain number nutrient allocation and nutrient composition in root,99
10.3390/molecules27061752,35335116,salinityalkali,responses,,,,observed responses increased grain number nutrient allocation and nutrient composition in root,99
10.3390/toxics10100574,36287853,,dry weight,,,,dry weight g 0.08,99
10.3390/toxics10100574,36287853,maize,dry weight,,,,dry weight g 0.08,99
10.3390/toxics10100574,36287853,,dry weight,,,,dry weight g 0.08,99
10.3390/toxics10100574,36287853,,dry weight,,,,dry weight g 0.08,99
10.3390/toxics10100574,36287853,,dry weight,,,,dry weight g 0.08,99
10.3390/toxics10100574,36287853,,dry weight,,,,dry weight g 0.08,99
10.3390/toxics10100574,36287853,,dry weight,,,,dry weight g 0.08,99
10.3390/toxics10100574,36287853,p. vittata,dry weight,,,,dry weight g 0.08,99
10.3390/toxics10100574,36287853,,dry weight,,,,dry weight g 0.08,99
10.3390/toxics10100574,36287853,,dry weight,0.36,,,dry weight g 0.08,99
10.3389/fpls.2017.00684,28503185,,biomass,5.8,,,biomass,99
10.3389/fpls.2017.00684,28503185,cv,biomass,30.6,,,biomass,99
10.3389/fpls.2017.00684,28503185,,biomass,20.5,,,biomass,99
10.3389/fpls.2017.00684,28503185,px cv,biomass,0.2,,,biomass,99
10.3389/fpls.2017.00684,28503185,pxm,biomass,1.3,,,biomass,99
10.3389/fpls.2017.00684,28503185,cvxm,biomass,12.5,,,biomass,99
10.3389/fpls.2017.00684,28503185,px cvxm,biomass,1.5,,,biomass,99
10.3390/microorganisms9091803,34576699,,biomass,5.8,,,biomass,99
10.3390/microorganisms9091803,34576699,cv,biomass,30.6,,,biomass,99
10.3390/microorganisms9091803,34576699,,biomass,20.5,,,biomass,99
10.3390/microorganisms9091803,34576699,px cv,biomass,0.2,,,biomass,99
10.3390/microorganisms9091803,34576699,pxm,biomass,1.3,,,biomass,99
10.3390/microorganisms9091803,34576699,cvxm,biomass,12.5,,,biomass,99
10.3390/microorganisms9091803,34576699,px cvxm,biomass,1.5,,,biomass,99
10.3390/jof7050361,34063150,,biomass,0.13,0.02,,nodule biomass g plant1 0.04  0.01 0.05  0.01 nan 0.07  0.00,99
10.3390/jof7050361,34063150,anova,biomass,,,,nodule biomass g plant1 0.04  0.01 0.05  0.01 nan 0.07  0.00,99
10.3390/jof7050361,34063150,co amf,biomass,,,,nodule biomass g plant1 0.04  0.01 0.05  0.01 nan 0.07  0.00,99
10.3390/jof7050361,34063150,,biomass,,,,nodule biomass g plant1 0.04  0.01 0.05  0.01 nan 0.07  0.00,99
10.3390/jof7050361,34063150,co x amf,biomass,,,,nodule biomass g plant1 0.04  0.01 0.05  0.01 nan 0.07  0.00,99
10.3390/jof7050361,34063150,,biomass,3.69,0.09,,shoot biomass g plant1 1.91  0.04 2.15  0.08 nan 3.24  0.09,99
10.3390/jof7050361,34063150,anova,biomass,,,,shoot biomass g plant1 1.91  0.04 2.15  0.08 nan 3.24  0.09,99
10.3390/jof7050361,34063150,co amf,biomass,,,,shoot biomass g plant1 1.91  0.04 2.15  0.08 nan 3.24  0.09,99
10.3390/jof7050361,34063150,,biomass,,,,shoot biomass g plant1 1.91  0.04 2.15  0.08 nan 3.24  0.09,99
10.3390/jof7050361,34063150,co x amf,biomass,,,,shoot biomass g plant1 1.91  0.04 2.15  0.08 nan 3.24  0.09,99
10.3390/jof7050361,34063150,,biomass,,,,root biomass g plant1 1.01  0.09 1.13  0.08 1.26  0.05 1.39  0.14,99
10.3390/jof7050361,34063150,anova,biomass,,,,root biomass g plant1 1.01  0.09 1.13  0.08 1.26  0.05 1.39  0.14,99
10.3390/jof7050361,34063150,co amf,root biomass,,,,root biomass g plant1 1.01  0.09 1.13  0.08 1.26  0.05 1.39  0.14,99
10.3390/jof7050361,34063150,,root biomass,,,,root biomass g plant1 1.01  0.09 1.13  0.08 1.26  0.05 1.39  0.14,99
10.3390/jof7050361,34063150,co x amf,root biomass,,,,root biomass g plant1 1.01  0.09 1.13  0.08 1.26  0.05 1.39  0.14,99
10.3390/jof7050361,34063150,,root biomass,5.05,0.12,,total biomass g plant1 2.91  0.07 nan 4.50  0.08,99
10.3390/jof7050361,34063150,anova,root biomass,,,,total biomass g plant1 2.91  0.07 nan 4.50  0.08,99
10.3390/jof7050361,34063150,co amf,root biomass,,,,total biomass g plant1 2.91  0.07 nan 4.50  0.08,99
10.3390/jof7050361,34063150,,biomass,,,,total biomass g plant1 2.91  0.07 nan 4.50  0.08,99
10.3390/jof7050361,34063150,co x amf,biomass,,,,total biomass g plant1 2.91  0.07 nan 4.50  0.08,99
10.3389/fmicb.2014.00682,25538696,,growth,,,,growth parameters,99
10.3389/fmicb.2014.00682,25538696,wwamf,growth,3.45,,,growth parameters,99
10.3389/fmicb.2014.00682,25538696,wwamf,growth,3.61,0.08,,growth parameters,99
10.3389/fmicb.2014.00682,25538696,dsamf,growth,3.12,0.12,,growth parameters,99
10.3389/fmicb.2014.00682,25538696,dsamf,growth,3.44,0.09,,growth parameters,99
10.3389/fmicb.2014.00682,25538696,,growth,,,,growth parameters,99
10.3389/fmicb.2014.00682,25538696,wwamf,growth,0.11,,,growth parameters,99
10.3389/fmicb.2014.00682,25538696,wwamf,growth,,,,growth parameters,99
10.3389/fmicb.2014.00682,25538696,dsamf,growth,,,,growth parameters,99
10.3389/fmicb.2014.00682,25538696,dsamf,growth,,,,growth parameters,99
10.3389/fmicb.2014.00682,25538696,,growth,,,,growth parameters,99
10.3389/fmicb.2014.00682,25538696,wwamf,growth,37.0,2.0,,growth parameters,99
10.3389/fmicb.2014.00682,25538696,wwamf,growth,43.0,2.0,,growth parameters,99
10.3389/fmicb.2014.00682,25538696,dsamf,growth,344.0,1.0,,growth parameters,99
10.3389/fmicb.2014.00682,25538696,dsamf,growth,37.0,1.0,,growth parameters,99
10.1007/s00122-010-1501-8,21222096,allium cepa,dry weight,1.24,,,total dry weight g nm experiment 2006,99
10.1007/s00122-010-1501-8,21222096,allium fistulosum,dry weight,0.7,,,total dry weight g nm experiment 2006,99
10.1007/s00122-010-1501-8,21222096,allium roylei,dry weight,0.54,,,total dry weight g nm experiment 2006,99
10.1007/s00122-010-1501-8,21222096,rfhybrid,dry weight,1.2,,,total dry weight g nm experiment 2006,99
10.1007/s00122-010-1501-8,21222096,allium cepa,dry weight,2.79,,,total dry weight g am experiment 2006,99
10.1007/s00122-010-1501-8,21222096,allium fistulosum,dry weight,1.95,,,total dry weight g am experiment 2006,99
10.1007/s00122-010-1501-8,21222096,allium roylei,dry weight,1.58,,,total dry weight g am experiment 2006,99
10.1007/s00122-010-1501-8,21222096,rfhybrid,dry weight,2.88,,,total dry weight g am experiment 2006,99
10.1007/s00122-010-1501-8,21222096,allium cepa,dry weight,1.55,,,total dry weight g r experiment 2006,99
10.1007/s00122-010-1501-8,21222096,allium fistulosum,dry weight,1.25,,,total dry weight g r experiment 2006,99
10.1007/s00122-010-1501-8,21222096,allium roylei,dry weight,1.04,,,total dry weight g r experiment 2006,99
10.1007/s00122-010-1501-8,21222096,rfhybrid,dry weight,1.68,,,total dry weight g r experiment 2006,99
10.1007/s00122-010-1501-8,21222096,allium cepa,dry weight,2.01,,,total dry weight g ap experiment 2006,99
10.1007/s00122-010-1501-8,21222096,allium fistulosum,dry weight,1.33,,,total dry weight g ap experiment 2006,99
10.1007/s00122-010-1501-8,21222096,allium roylei,dry weight,1.06,,,total dry weight g ap experiment 2006,99
10.1007/s00122-010-1501-8,21222096,rfhybrid,dry weight,2.04,,,total dry weight g ap experiment 2006,99
10.1007/s00122-010-1501-8,21222096,mean,dry weight,1.29,,,total dry weight g nm trihybrid genotypes n  77,99
10.1007/s00122-010-1501-8,21222096,minimum,dry weight,0.45,,,total dry weight g nm trihybrid genotypes n  77,99
10.1007/s00122-010-1501-8,21222096,maximum,dry weight,2.58,,,total dry weight g nm trihybrid genotypes n  77,99
10.1007/s00122-010-1501-8,21222096,mean,dry weight,3.17,,,total dry weight g am trihybrid genotypes n  77,99
10.1007/s00122-010-1501-8,21222096,minimum,dry weight,1.3,,,total dry weight g am trihybrid genotypes n  77,99
10.1007/s00122-010-1501-8,21222096,maximum,dry weight,5.67,,,total dry weight g am trihybrid genotypes n  77,99
10.1007/s00122-010-1501-8,21222096,mean,dry weight,1.88,,,total dry weight g r trihybrid genotypes n  77,99
10.1007/s00122-010-1501-8,21222096,minimum,dry weight,0.23,,,total dry weight g r trihybrid genotypes n  77,99
10.1007/s00122-010-1501-8,21222096,maximum,dry weight,3.89,,,total dry weight g r trihybrid genotypes n  77,99
10.1007/s00122-010-1501-8,21222096,mean,dry weight,2.23,,,total dry weight g ap trihybrid genotypes n  77,99
10.1007/s00122-010-1501-8,21222096,minimum,dry weight,1.19,,,total dry weight g ap trihybrid genotypes n  77,99
10.1007/s00122-010-1501-8,21222096,maximum,dry weight,3.73,,,total dry weight g ap trihybrid genotypes n  77,99
10.1007/s00122-010-1501-8,21222096,allium cepa,dry weight,2.0,,,total dry weight g nm experiment 2007,99
10.1007/s00122-010-1501-8,21222096,allium fistulosum,dry weight,1.49,,,total dry weight g nm experiment 2007,99
10.1007/s00122-010-1501-8,21222096,allium roylei,dry weight,0.68,,,total dry weight g nm experiment 2007,99
10.1007/s00122-010-1501-8,21222096,rfhybrid,dry weight,1.53,,,total dry weight g nm experiment 2007,99
10.1007/s00122-010-1501-8,21222096,allium cepa,dry weight,6.164,,,total dry weight g am experiment 2007,99
10.1007/s00122-010-1501-8,21222096,allium fistulosum,dry weight,6.22,,,total dry weight g am experiment 2007,99
