"","DOI","TREATMENT","INOCTYPE","RESPONSE","SOILTYPE","FIELDGREENHOUSE","LANDUSE","ECOTYPE","ECOREGION","LOCATION","journal"
"11","10.1590/1519-6984.276160","coarse sand SCS; control group; MIX combination; SCS; inoculation control etunicatum; cattle manure; without AMF; three AMF; poultry manure; inoculation AMF; four AMF; treatments; AMF; inoculation control; MIX; sheep manure; phosphate fertilization; inoculation; inoculation phosphorus; the inoculation; a MIX combination; chicken manure; without inoculation","AMF inoculation; Clareoideoglomus etunicatum; heterosporum clarum MIX R. specifically; clarum Glomus; Gigaspora margarita; Rhizophagus clarum; etunicatum Rhizophagus heterosporum clarum; clarum Glomus margarita albida; Gigaspora albida; heterosporum clarum R.; Rhizophagus heterosporum; arbuscular mycorrhizal fungi (AMF); Rhizophagus heterosporum clarum; Clareoideoglomus etunicatum heterosporum MIX; clarum Gigaspora margarita; Clareoideoglomus etunicatum albida; etunicatum clarum Gigaspora albida","growth heightened; biomass; growth quality; the growth quality",NA,NA,NA,"Peltophorum dubium; P. dubium",NA,NA,"Brazilian Journal of Biology"
"12","10.1016/j.jenvman.2024.120673","sole combined inoculation; combined inoculation; treatments; MPs treatment; Bacillus subtilis inoculation combination; MPs raw; MPs aged; Microplastics (MPs) MPs; co-applied; combined application; microbial inoculation; MPs polyethylene; inoculation Sole combination; MPs; (Sole combination","subtilis; Trichoderma subtilis; the Trichoderma subtilis; Bacillus; Trichoderma longibrachiatum inoculation; Trichoderma Bacillus subtilis co-applied; Trichoderma Bacillus; Trichoderma Bacillus subtilis; Trichoderma longibrachiatum","microbial biomass",NA,"greenhouse; microcosm",NA,NA,"terrestrial ecosystem; terrestrial ecosystems",NA,"Journal of Environmental Management"
"13","10.1093/treephys/tpae029","14-day recovery; hydrophobicity; exploration type; needle biomass; Drought; drought; other exploration types; the control; medium-distance; seedling drought","natural soil inoculums; ectomycorrhizal fungi different; soil inoculum; ectomycorrhizal fungi","root biomass; biomass; seedling growth",NA,"nursery; greenhouse",NA,"Scots pine; Pinus sylvestris",NA,NA,"Tree Physiology"
"14","10.1007/s00572-024-01139-7","AMF inoculation; four AMF; the root-knot nematode Meloidogyne incognita; M. incognita; nematodes; AMF; Meloidogyne incognita; the inoculation; infected; nematode inoculation; four","AMF inoculation; claroideum Gigaspora margarita; Rhizophagus intraradices; Gigaspora margarita; Funneliformis mosseae; claroideum C.; mosseae Gi F.; Claroideoglomus claroideum mosseae margarita intraradices; margarita; claroideum Rhizophagus intraradices; claroideum Funneliformis mosseae; Arbuscular mycorrhizal fungi (AMF); Claroideoglomus claroideum","plant biomass; biomass shoot",NA,"greenhouse",NA,"Tomato plants",NA,NA,"Mycorrhiza"
"15","10.3390/microorganisms12010075","soil AM; AMF; OTUs; AM; AM fungal; the inoculum","arbuscular mycorrhizal fungi (AMF)","the shoot biomass intensity used; shoot biomass sativa",NA,"durum field; greenhouse; the field; the field surroundings",NA,"wheat wheat associated; wheat weeds; wheat associated; an organic winter wheat field; wheat wheat; T. durum; Medicago sativa; wheat; Triticum durum","this agroecosystem","Lebanon","Microorganisms"
"16","10.1002/jobm.202300424","G.m C.t; The inoculation; G.e + C.t; combined application; four AMFs; C.t; Se; G.e; G.m G.e inoculated; inoculation AMFs; when inoculated; G.m G.e; C.t   inoculated; AMF; inoculation AMFs all; G.m G.e C.t   inoculation; G.m C.t C.t   inoculation; four; the inoculation; AMFs; G.m; selenium Se","AMF inoculation; Glomus etunicatum tortuosum; Glomus mosseae; Glomus mosseae G.m; Glomus etunicatum G.e tortuosum; arbuscular mycorrhizal fungi (AMF); Corymbiglomus tortuosum; etunicatum Corymbiglomus tortuosum  ; etunicatum Corymbiglomus tortuosum C.t; Glomus etunicatum","amaranth biomass content; the biomass; the biomass ultimately","soil enriched enriched","pot",NA,"amaranth; amaranth plants",NA,NA,"Journal of Basic Microbiology"
"17","10.1007/s12298-023-01369-7","Al stress; control plants; AMF; aluminum Al; Al; environmental stresses","AMF inoculation; arbuscular mycorrhizal; Funneliformis mosseae; specifically Funneliformis mosseae; arbuscular mycorrhizal fungi (AMF)","Dry mass; plant biomass; the growth performance; the growth enzymes expressions","acidic soil",NA,NA,"white clover; Trifolium; repens",NA,NA,"Physiology and Molecular Biology of Plants"
"18","10.3390/plants12244088","Agri mycorrhiza; AM; artificial inoculation treatment; drought; the inoculation treatment additional AM inoculation; AM fungi; treatment AM inoculation","Rhizophagus irregularis; artificial inoculation","mass; biomass","degraded",NA,"urban; the grassland artificial restorations","grassland; lawn; grasslands lawns","mesoclimatic","Törökszentmiklós Nagykunság Plain; Pannon; Hungarian Great Plain; Törökszentmiklós","Plants"
"19","10.1111/pce.14771","PGPR inoculating; inoculating; PGPR","plant growth-promoting rhizobacteria; arbuscular mycorrhizal fungi; PGPR Bacillus amyloliquefaciens; the Bacillus amyloliquefaciens","flower biomass",NA,NA,NA,"cultivated tomato lycopersicum; Solanum habrochaites  ; Solanum lycopersicum; pimpinellifolium; Solanum; Solanum habrochaites; peruvianum S.; Solanum peruvianum; Solanum tomato lycopersicum; tomatoes",NA,NA,"Plant, Cell &amp; Environment"
"20","10.1016/j.jenvman.2023.119509","low moderate; low moderate high; single AMF; AMF; multiple AMF; no AMF; three; Inoculating; biodiversity complete sterilization; inoculation; three AMF","AMF inoculation; Arbuscular mycorrhizal fungi (AMF)","plant biomass; reduced biomass non-N sub>2</sub>-ﬁxing; the biomass greater sub>2</sub>-fixing; The biomass",NA,"greenhouse; Grassland microcosms","Grassland degradation; grassland restoration; degraded","degraded grassland; grassland; Grassland",NA,NA,"Journal of Environmental Management"
"21","10.1007/s10886-023-01455-w","Four varieties; AMF; without herbivores; tomato varieties; inoculated non-inoculated; VOC","commercial inoculum; arbuscular mycorrhizal fungi (AMF)","Plant biomass",NA,"greenhouse",NA,"tomato plants; Tomato plants; Solanum; lycopersicum; tomato",NA,NA,"Journal of Chemical Ecology"
"22","10.3390/jof9100977","AMF inoculation; the co-inoculation treatment; co-inoculation; co-inoculation treatment; AMF; inoculation; the non-inoculated control; PSB; non-inoculated control; AMF PSB; PSB treatment AMF + PSB; nylon mesh; NaOH-Po; phosphate solubilizing bacteria","etuicatum Bacillus aryabhattai; Bacillus aryabhattai; Claroideogolmus etuicatum; effects namely Claroideogolmus etuicatum aryabhattai; Arbuscular mycorrhizal fungi (AMF)","biomass; plant growth","rootless soil; the hyphosphere soil","a three-compartment microcosm",NA,"oleifera C.; Camellia oleifera",NA,NA,"Journal of Fungi"
"23","10.1093/treephys/tpad130","Five treatments; the treatment noninoculated; noninoculated; inoculated; zero one-fifth one-fourth; one-fifth one-fourth one-third one-half; root-pruned; water; AMF The; treatment noninoculated; pruning root treatments all; one-fourth one-half; AMF; inoculation; treatments zero one-fifth; taproot length; one-fourth one-third; without inoculation; pruning root treatments zero","Funneliformis mosseae; Arbuscular mycorrhizal fungi (AMF); mosseae F.","seedling biomass; root biomasses",NA,"pot experiment",NA,"forest ecosystems; pseudoacacia R. properties; Robinia pseudoacacia",NA,NA,"Tree Physiology"
"24","10.1016/j.envres.2023.117219","control plants; three factors; GC‒MS assays; combined inoculation; stress; AM fungal; normal groups; synergistic treatments; treatment; AMF Bacillus; rot disease stress; stress groups","Fusarium oxysporum; Bacillus paramycoides mosseae; plant growth-promoting bacteria; paramycoides mosseae; Bacillus paramycoides; Funneliformis mosseae; paramycoides Funneliformis mosseae; arbuscular mycorrhizal fungi (AMF); Bacillus mosseae; paramycoides stress; Bacillus paramycoides Funneliformis mosseae","dry weight; soybean biomass; growth",NA,"pot",NA,"soybean",NA,NA,"Environmental Research"
"25","10.3389/fpls.2023.1206047","Pi; soil inorganic phosphate; co-cultivated; Pi maize; controls; the AM fungus; P chemical fertilizers; non-mycorrhizal controls; nutrient limitation; inoculated walnut; inoculum; non-mycorrhizal; CMN; Pi limitation","arbuscular mycorrhizal fungi","biomass; the growth; biomass diameter; biomass number; height",NA,NA,"agroforestry","plants walnut co-cultivated; walnut; walnut roots; walnut trees; maize; agroforestry; Juglans; mycorrhizal walnuts",NA,NA,"Frontiers in Plant Science"
"26","10.1111/gcb.16886","AMF; the inoculated AMF; SOC; mycorrhizae; when combined","Glomus; Arbuscular mycorrhizal fungi (AMF); Paraglomus Acaulospora","fungal biomass",NA,NA,NA,NA,NA,NA,"Global Change Biology"
"27","10.1093/aob/mcad095","NO3-; Colonization; AMF; low soil water; AMF Colonization; either colonized colonized; water; AMF-colonized; non-colonized plants; not colonized; inoculation; soil water; AMF colonized","arbuscular mycorrhizal fungi (AMF)","biomass",NA,"pot",NA,"lake-wetland; wetland subtropical; wetland; Carex thunbergii","subtropical; Subtropical",NA,"Annals of Botany"
"28","10.3389/fmicb.2023.1131797","BC; BC co-inoculation; AMF dominant constrictum SC cereus; SC + BC; single inoculation; SC   Inoculation; AMF Bacillus; the SC co-inoculation; Inoculation; SC BC inoculation; AMF; Bacillus; SC co-inoculation; inoculation dual; BC inoculation; inoculation; SC BC inoculation  ; BC + SC; the uninoculated treatment; SC BC; uninoculated treatment; SC inoculation  ; BC Inoculation","constrictum cereus B.; Bacillus; Bacillus cereus; arbuscular mycorrhizal fungi (AMF); Septoglomus constrictum; Bacillus cereus BC; constrictum cereus S.","the biomass; the competitive growth; amethystoides biomass; the growth competitiveness; growth",NA,"pot cultures",NA,"Ageratina adenophora; Rabdosia amethystoides; amethystoides R.; adenophora A. mixture; adenophora A.; adenophora amethystoides A.; adenophora amethystoides R.",NA,NA,"Frontiers in Microbiology"
"29","10.3390/microorganisms11051144","drought treatment; drought no treatment; drought severe; AMF native; drought % % moderate; AMF; moderate no; control treatment; drought; (30%; soil water; drought moderate","AMF inoculum; Arbuscular mycorrhizal fungi (AMF)","plant biomass; microbial biomass",NA,NA,NA,"maize",NA,NA,"Microorganisms"
"30","10.3390/microorganisms11051113","Inoculum C; Inoculum B; AMF; Inoculum; without biochar; Inoculum A; Biochar; when inoculated; inoculum; biochar","soil from soil; AMF inoculum; commercial inoculum; arbuscular mycorrhizal fungi (AMF)","biomass; growth",NA,"greenhouse","degradation; undisturbed site; disturbed site","Ventenata dubia; sagebrush steppe; Pseudoroegneria spicata; V. dubia; P. spicata; T. caput-medusae; Taeniatherum caput-medusae",NA,NA,"Microorganisms"
"31","10.3390/plants12112195","P; intraspecific ( Intra-; AMF; phosphorus addition; AMF inoculation levels; P addition exogenous; addition; sup>+</sup treatment; Inter- competition; P fertilizer; three; P addition; without AMF; no addition; Intra- competition","AMF inoculation; arbuscular mycorrhizal fungi (AMF)","root biomass; root growth",NA,NA,NA,"plant Eupatorium adenophorum lindleyanum; E. adenophorum; Eupatorium adenophorum; Eupatorium lindleyanum; E. lindleyanum",NA,NA,"Plants"
"32","10.3390/life13051118","AMF inoculated; of four; MBC; AMF; uninoculated control; phosphorus (P)-deficient; FDA; inoculated; four","Claroideoglomus; Acaulospora; Glomus; arbuscular mycorrhizal fungi (AMF); Funneliformis; Rhizophagus","plant growth; microbial biomass",NA,NA,NA,"sustainable rice; rice aerobic; rice",NA,NA,"Life"
"33","10.3390/jof9050540","inoculate; AMF native; AMF; AMF combined; AMF MIX-with; AMF NAT-with native combined; treatment; MIX NAT; low nutrient; excess P; three; low surface moisture; without AMF; excess; CON; CON-no mycorrhizae","imperialis B. excess P.; AMF inoculation treatments; imperialis B.; arbuscular mycorrhizal fungi (AMF)","root biomass",NA,NA,"impacted","Bellucia imperialis; pioneer; imperialis B.; P. B.",NA,"the Central Amazon","Journal of Fungi"
"34","10.1093/treephys/tpad064","nutrient stress; AM; SCW; nutrient conditions; AM EM fungi; AM EM inoculated; ectomycorrhizal EM; AM EM; EM; AM plants; inoculated","arbuscular (AM) AM ectomycorrhizal fungi","plant biomass; biomass; wood biomass",NA,"the field","wood production","Populus",NA,NA,"Tree Physiology"
"35","10.1186/s12284-023-00635-2","combined; AMF; treatment; inoculant treatment; compound inoculum; salt stress; NaCl; non-inoculation; inoculation","Piriformospora indica; Funneliformis mosseae; Funneliformis mosseae Fm; Ar indica Agrobacterium rhizogenes; Agrobacterium rhizogenes; Arbuscular mycorrhizal fungi (AMF); Piriformospora Pi indica rhizogenes","seedling biomass; plant growth; the rice growth","salinized soil; soil salinization",NA,NA,"rice",NA,NA,"Rice"
"36","10.1016/j.micres.2023.127350","dual-inoculated single; the treatment uninoculated; dual-inoculation; severe stress; AMF PGPR; soil water; AMF PGPR combination clarus; inoculation individual; a control treatment; plants inoculated with; a PGPR consortium; the treatments severe; severe drought; microbial inoculation; AMF PGPR sp.; optimal condition; AMF; severe drought moderate; no drought; AMF the inoculation; PGPR; no water stress; inoculation; AMF PGPR consortium; PGPR only iii consortium; drought moderate; treatment uninoculated; AMF-inoculated; a combination; all treatments; AMF only; control treatment; drought; without inoculation","AMF inoculation; plant growth-promoting rhizobacteria; Bacillus; Rhizophagus clarus; Arbuscular mycorrhizal fungi (AMF)","biomass",NA,"microcosm",NA,"maize",NA,NA,"Microbiological Research"
"37","10.3389/fpls.2023.1140467","low P treatment; inoculated plants; low P; AMF; inadequate phosphorus (P P; P low P treatment; moderate low; PTs; inoculation; JrPTs; P treatment Low; moderate; non-AMF treatment","Arbuscular mycorrhizal fungi (AMF)","exchange rate height diameter biomass; growth yield; plant growth; walnut growth activities; height total biomass",NA,NA,NA,"regia; Juglans regia; walnut; Walnut Juglans regia; nut; Walnut regia; Diversispora spurca",NA,NA,"Frontiers in Plant Science"
"38","10.3390/plants12051184","non-native plants; AM; non-native competitor; control; sterile soil; early successional plants; AM fungi; native plants; late successional plants","native AM fungi; whole soil collections; native microbe soil amendments; arbuscular mycorrhizal (AM)","seedling biomass","ex-arable soil; ex-arable soils","pots; the pots","ex-arable; restoration; US grassland restorations faberi","grassland; prairie; nearby tallgrass prairie; Setaria faberi; grass faberi; the non-native grass faberi S.; a non-native grass",NA,"US","Plants"
"39","10.1186/s12870-023-04111-3","AMF; drought mycorrhiza-enhanced; WW DS; drought; stress well-watered WW; WW; inoculation; juglone; DS","AMF inoculation; Diversispora spurca; Arbuscular mycorrhizal fungi (AMF); arbuscular mycorrhizal fungus","root biomass; biomass",NA,NA,NA,"walnut Juglans regia; Juglans regia; walnut; walnut regia; walnuts",NA,NA,"BMC Plant Biology"
"40","10.3389/fpls.2023.1101932","nutrients fertilization; the water high water treatment; AMF; high nutrient; low nutrient soil; Fertilization; nutrient conditions; phosphate fertilization; soil nutrient levels; high nutrient soil; the AMF; nutrient levels; low water; soil water; high water treatment","AMF inoculation; Funneliformis mosseae; arbuscular mycorrhizal fungi (AMF)","growth defense; the responses; plant biomass; the growth; plant responses; plant growth",NA,"nursery",NA,"Artemisia ordosica; Chrysolina aeruginosa",NA,NA,"Frontiers in Plant Science"
"41","10.1007/s00442-023-05329-6","unconditioned soil; altered nutrient levels; unconditioned biota; some no biota; inoculum; soil biota; all; non-invasive","whole-soil inoculum; soil conditioning; unconditioned; unconditioned filtrate; soil filtrate; self-conditioned; self-conditioned unconditioned","Biomass; less biomass",NA,NA,NA,"Cirsium vulgare; non-invasive C. oleraceum",NA,"European","Oecologia"
"42","10.3390/microorganisms11010050","competition; Colonization; AMF; drought abiotic; sterile active; drought","commercial AMF inoculum; Commercial AMF inoculation; commercial inoculum; arbuscular mycorrhizal fungi (AMF)","plant biomass; biomass; growth survival establishment","field soil","field",NA,"sagebrush steppe; Artemisia nova; nova A.; Artemisia plants; Artemisia spp; Artemisia tridentata; The genus Artemisia; tridentata ssp; T. caput-medusae; Taeniatherum caput-medusae; Artemisia arbuscula",NA,"North American","Microorganisms"
"43","10.1016/j.scitotenv.2022.160616","Soil fungi; saprotrophic fungi; soil ectomycorrhizal; pathogenic fungal; soil fungal; pathogenic fungi; fungal pathogens; inoculated compared","early-successional inoculated","seedling biomass; biomass communities; the growth","rooting zone soils; late-successional soil; fungal-dominated; early-successional soil; late-successional soils",NA,"succession forest; forest disturbances; grassland succession; successional; late-successional","grassland; forest; B. platyphylla; Betula platyphylla; Picea asperata; B. albosinensis; subalpine forest; Betula albosinensis; pioneer broadleaf; Abies faxoniana; pioneer; nonpioneer; coniferous tree",NA,NA,"Science of The Total Environment"
"44","10.1016/j.scitotenv.2022.160550","AMF; soil microbial communities; soil nutrient levels; inoculum; generally low","arbuscular mycorrhizal plant species; arbuscular mycorrhizal fungi (AMF)","biomass; microbial biomass",NA,NA,"successional; plant succession; primary successional","glacier forelands",NA,"northern Sweden","Science of The Total Environment"
"45","10.3390/microorganisms10112287","TE-polluted soils; Cd Zn; sewage; Cd; in combination; organic amendment","AMF inoculation; arbuscular mycorrhizal fungus (Funneliformis mosseae; arbuscular mycorrhizal fungi (AMF)","microbial biomass; the growth","trace elements",NA,NA,"coriander Cd immobilization; Coriandrum; sativum; coriander L.; sativum C.",NA,NA,"Microorganisms"
"46","10.3389/fpls.2022.1022319","(DS); presence absence; a PSB combination; PSB combination; Drought; added not moisture; combinations; Co-inoculated plants; co-inoculated with; rock phosphate; presence RP; PSB AMF co-inoculated; RP; presence absence of; phosphate PSB AMF presence absence of RP; PSB AMF; AMF; added moisture; PSB; AMF combination; four factors; phosphate solubilizing bacteria; AMF presence; presence presence absence; drought","vietnamiensis B. capable; Rhizophagus aggregatus; arbuscular mycorrhizal fungi (AMF)","root growth; yield; plant biomass; the growth production; plant growth",NA,NA,NA,"Sunchoke; sunchoke; Helianthus tuberosus",NA,NA,"Frontiers in Plant Science"
"47","10.1007/s00248-022-02132-3","trophic groups; Mycorrhizal fungi; horizontal; away; un-inoculated plants; non-mycorrhizal; inoculated","Rhizophagus intraradices inoculated; Rhizophagus intraradices; arbuscular mycorrhizal fungus","biomass",NA,"microcosms",NA,"Zea mays; Z. mays","terrestrial ecosystems",NA,"Microbial Ecology"
"48","10.3389/fpls.2022.1015947","AMF; infested; AMF dominant etunicatum; nymphs; inoculation","AMF inoculation; etunicatum Septoglomus constrictum; etunicatum C.; etunicatum constrictum inoculation C.; constrictum S.; arbuscular mycorrhizal fungi (AMF); Septoglomus constrictum; Claroideoglomus etunicatum; etunicatum constrictum S.; Claroideoglomus etunicatum constrictum","root biomass; the biomass aboveground; growth; the biomass nutrient",NA,NA,NA,"Ageratina adenophora; adenophora the A.; adenophora A. etunicatum; adenophora A.; Aphis gossypii",NA,NA,"Frontiers in Plant Science"
"49","10.3390/toxics10100565","Se AMF fertilizer; fertilization; Ce Fm; Se fertilizer; Se AMF; Se soil more water-soluble uptake; Combined; (DDI); Se; Se organic; inoculated grown; Se Fm fertilizer; Fm inoculated; Se DDI; the WHO; Se the organic highest; AMF; Se available; Fm fertilizer; Se biofortification; inoculation; combined; Se Se organic; Se Se; Se the bioavailable; AMF fertilizer; single Se","AMF inoculation; Funneliformis mosseae; etunicatum Funneliformis mosseae Fm; Claroideoglomus etunicatum Ce mosseae; Claroideoglomus etunicatum; Arbuscular mycorrhizal fungi (AMF)","soybean accumulation speciation biomass; root growth",NA,"pot",NA,"Soybean; Soybean inoculated; soybean; Glycine",NA,NA,"Toxics"
"50","10.1080/15592324.2022.2134676","AM; > cesium; the AM fungus; sup>+</sup>-free nutrient; inoculation; cesium chloride","irregularis; Arbuscular mycorrhizal (AM) fungi; Rhizophagus","root biomass",NA,NA,NA,"Medicago truncatula",NA,NA,"Plant Signaling &amp; Behavior"
"51","10.3389/fpls.2022.968719","LG HG; AMF; inoculated; treatment; without; low gravel; LG; HG; free gravel; high gravel; FG","fungus; Glomus etunicatum; fungus Glomus etunicatum; Arbuscular mycorrhizae fungi (AMF)","the growth nutrition; growth nutrients; the growth highest absorption; growth nutrients higher; plant growth; the aboveground biomass","karst soil",NA,NA,"pilosa B.; Karst ecosystems; Bidens pilosa",NA,NA,"Frontiers in Plant Science"
"52","10.3389/fmicb.2022.1006140","PcRS; chrysophanol; PcCHS2; concentrations physcion chrysophanol polydatin; physcion chrysophanol; physcion polydatin; inoculated uninoculated plants; chrysophanol polydatin; PcCRS1; inoculation; AM plants; emodin","Funneliformis mosseae; mosseae; arbuscular mycorrhizal (AM); mosseae F.","the growth concentrations; biomass; plant growth; growth; height",NA,NA,NA,"Polygonum cuspidatum; P. cuspidatum",NA,NA,"Frontiers in Microbiology"
"53","10.3390/plants11172276","inoculation; AM fungi; AM fungal","local AM fungal communities; arbuscular mycorrhizal (AM); commercial inoculants; commercial AM fungal inoculants; commercial AM fungal","plant biomass; the growth; plant growth; plant growers; controlled growth",NA,NA,"restoration","grassland; grasslands",NA,NA,"Plants"
"54","10.3389/fpls.2022.965576","12 soils; this inoculum; soil water; conditioning; soil pathogens; microplastics; PET; control soil; inoculum; soil biota; Microplastics; microplastics depending; microplastic this; microplastic types","soil conditioned conditioned; soil conditioned; soil inoculum","root mass; shoot mass; plant biomass; mass higher; plant growth",NA,NA,NA,"a species Calamagrostis epigejos; Daucus carota; carota D.; epigejos C.; a carota native D. epigejos",NA,"Microplastic legacy","Frontiers in Plant Science"
"55","10.3389/fpls.2022.845794","without synthetic fertilizer; CBD THC; fertilizer with synthetic; AMF; fertilizer NPK; non-mycorrhizal controls; synthetic fertilizer; sativa KKU05; unfertilized; inoculum; synthetic fertilizer NPK; non-mycorrhizal; inocula; CRD","Rhizophagus prolifer; R. aggregatus; arbuscular mycorrhizal fungi (AMF)","growth cannabinoid yield; plant biomass; growth yield",NA,NA,"cannabis cultivation","prolifer R.; Cannabis sativa; cannabis",NA,NA,"Frontiers in Plant Science"
"56","10.1038/s41396-022-01293-w","Soil biota; AM fungi; soil fertility; AM fungal","arbuscular mycorrhizal (AM)","plant biomass",NA,"a greenhouse; the field; the greenhouse inoculated",NA,"Conyza plants; Conyza canadensis",NA,NA,"The ISME Journal"
"57","10.3389/fpls.2022.898378","different treatments; actinomycetes; combined; DSE Inoculation; DSE; water; drought; the absence of; Inoculation","phragmitis chlamydospore A.; Alternaria chlamydospore; DSE inoculation; Microascus alveolaris; phragmitis chlamydospore N.; Neocamarosporium phragmitis chlamydospore alveolaris; Neocamarosporium phragmitis; phragmitis Microascus alveolaris; arbuscular mycorrhiza (AM); phragmitis Alternaria chlamydospore","plant growth; the indexes biomass; the growth parameters",NA,NA,NA,"Lycium ruthenicum; ruthenicum L.; drylands; ruthenicum plants",NA,NA,"Frontiers in Plant Science"
"58","10.3389/fpls.2022.898969","AMF inoculation; AMF; mycorrhizal inoculation; insect control; Locusta migratoria attack; mycorrhizal treatment; Inoculation assays; insect damage; non-inoculated","Funneliformis; Funneliformis mosseae; arbuscular mycorrhizal fungi (AMF)","plant biomass; the growth uptake",NA,NA,NA,"Elymus nutans; forage grasses; terrestrial plants; gramineous",NA,NA,"Frontiers in Plant Science"
"59","10.1016/j.plantsci.2022.111308","drought; Soil inoculation","Rhizophagus irregularis","shoot biomass; fruit yield; height",NA,"glasshouse",NA,"tomato >; tangerine tomato; MicroTom tangerine; red tomatoes",NA,NA,"Plant Science"
