"","study_id","INOCTYPE"
"155","10.1016/j.heliyon.2024.e24820"," glomus g."
"156","10.1016/j.heliyon.2024.e24820"," vetch g. intraradices"
"157","10.1016/j.heliyon.2024.e24820"," g.   microcarpum"
"158","10.1016/j.heliyon.2024.e24820"," constrictum"
"159","10.1016/j.heliyon.2024.e24820"," fasciculatum"
"160","10.1016/j.heliyon.2024.e24820"," glomus fasciculatum"
"161","10.1016/j.heliyon.2024.e24820"," g. intraradices"
"162","10.1016/j.heliyon.2024.e24820"," arbuscular mycorrhizal fungi (amf)"
"163","10.1016/j.scitotenv.2024.170417","plant growth-promoting rhizobacteria"
"164","10.1016/j.scitotenv.2024.170417"," laevis subtilus b."
"165","10.1016/j.scitotenv.2024.170417"," arbuscular mycorrhizal fungi (amf)"
"166","10.1016/j.scitotenv.2024.170417"," amf acaulospora laevis subtilus"
"167","10.1016/j.scitotenv.2024.170417"," bacillus subtilus"
"168","10.1016/j.scitotenv.2024.170417"," pgpr laevis bacillus subtilus"
"169","10.1016/j.scitotenv.2024.170417"," acaulospora laevis"
"170","10.1016/j.scitotenv.2024.170417"," laevis subtilus a."
"171","10.3390/microorganisms12010075","arbuscular mycorrhizal fungi (amf)"
"172","10.1007/s11356-024-31870-9","rhizophagus irregularis versiformis"
"173","10.1007/s11356-024-31870-9"," diversispora versiformis"
"174","10.1007/s11356-024-31870-9"," versiformis d."
"175","10.1007/s11356-024-31870-9"," arbuscular mycorrhizal fungi (amf)"
"176","10.1007/s11356-024-31870-9"," irregularis diversispora versiformis"
"177","10.1007/s11356-024-31870-9"," rhizophagus irregularis"
"178","10.1007/s11356-024-31870-9"," irregularis versiformis d."
"179","10.1007/s11356-024-31870-9"," irregularis versiformis r."
"180","10.1007/s11356-024-31870-9"," biochar irregularis r."
"181","10.1002/jobm.202300424","amf inoculation"
"182","10.1002/jobm.202300424"," glomus etunicatum tortuosum"
"183","10.1002/jobm.202300424"," glomus mosseae"
"184","10.1002/jobm.202300424"," glomus mosseae g.m"
"185","10.1002/jobm.202300424"," glomus etunicatum g.e tortuosum"
"186","10.1002/jobm.202300424"," arbuscular mycorrhizal fungi (amf)"
"187","10.1002/jobm.202300424"," corymbiglomus tortuosum"
"188","10.1002/jobm.202300424"," etunicatum corymbiglomus tortuosum  "
"189","10.1002/jobm.202300424"," etunicatum corymbiglomus tortuosum c.t"
"190","10.1002/jobm.202300424"," glomus etunicatum"
"191","10.1007/s12298-023-01369-7","amf inoculation"
"192","10.1007/s12298-023-01369-7"," arbuscular mycorrhizal"
"193","10.1007/s12298-023-01369-7"," funneliformis mosseae"
"194","10.1007/s12298-023-01369-7"," specifically funneliformis mosseae"
"195","10.1007/s12298-023-01369-7"," arbuscular mycorrhizal fungi (amf)"
"196","10.1007/s10123-023-00466-7","etunicatum gigaspora margarita t2"
"197","10.1007/s10123-023-00466-7"," rhizophagus irregularis t3"
"198","10.1007/s10123-023-00466-7"," gigaspora margarita"
"199","10.1007/s10123-023-00466-7"," claroideoglomus etunicatum t1 margarita"
"200","10.1007/s10123-023-00466-7"," arbuscular mycorrhizal fungi (amf)"
"201","10.1007/s10123-023-00466-7"," rhizophagus irregularis"
"202","10.1007/s10123-023-00466-7"," claroideoglomus etunicatum"
"203","10.1111/nph.19493","rhizophagus dominikia"
"204","10.1111/nph.19493"," arbuscular mycorrhizal (am)"
"205","10.3390/plants12244171","amf inoculation"
"206","10.3390/plants12244171"," claroideoglomus claroideum lamellosum"
"207","10.3390/plants12244171"," claroideoglomus lamellosum"
"208","10.3390/plants12244171"," claroideoglomus claroideum cc lamellosum hmc26"
"209","10.3390/plants12244171"," arbuscular mycorrhizal fungi (amf)"
"210","10.3390/plants12244171"," claroideoglomus claroideum"
"211","10.3390/plants12244088","rhizophagus irregularis"
"212","10.3390/plants12244088"," artificial inoculation"
"213","10.3390/jof9121152","endophytic fungi"
"214","10.3390/jof9121152"," zelobreve"
"215","10.3390/jof9121152"," variabilis"
"216","10.3390/jof9121152"," trichoderma"
"217","10.3390/jof9121152"," zelobreve pbmp16 co-inoculated r."
"218","10.3390/jof9121152"," arbuscular mycorrhizal fungi (amf)"
"219","10.3390/jof9121152"," rhizophagus"
"220","10.3390/plants12234012","guilliermondii rhodotorula mucilaginosa rm"
"221","10.3390/plants12234012"," yeast inoculation"
"222","10.3390/plants12234012"," meyerozyma guilliermondii"
"223","10.3390/plants12234012"," claroideoglomus claroideum cc"
"224","10.3390/plants12234012"," meyerozyma guilliermondii mg mucilaginosa"
"225","10.3390/plants12234012"," rhodotorula mucilaginosa"
"226","10.3390/plants12234012"," arbuscular mycorrhizal fungi (amf)"
"227","10.3390/plants12234012"," claroideoglomus claroideum"
"228","10.1111/pce.14771","plant growth-promoting rhizobacteria"
"229","10.1111/pce.14771"," arbuscular mycorrhizal fungi"
"230","10.1111/pce.14771"," pgpr bacillus amyloliquefaciens"
"231","10.1111/pce.14771"," the bacillus amyloliquefaciens"
"232","10.1016/j.jenvman.2023.119509","amf inoculation"
"233","10.1016/j.jenvman.2023.119509"," arbuscular mycorrhizal fungi (amf)"
"234","10.1016/j.envpol.2023.122841","rhizophagus irregularis"
"235","10.1016/j.envpol.2023.122841"," arbuscular mycorrhizal fungi (amf)"
"236","10.1016/j.envpol.2023.122841"," rhizophagus irregularis maxim"
"237","10.1007/s10886-023-01455-w","commercial inoculum"
"238","10.1007/s10886-023-01455-w"," arbuscular mycorrhizal fungi (amf)"
"239","10.3390/jof9100977","etuicatum bacillus aryabhattai"
"240","10.3390/jof9100977"," bacillus aryabhattai"
"241","10.3390/jof9100977"," claroideogolmus etuicatum"
"242","10.3390/jof9100977"," effects namely claroideogolmus etuicatum aryabhattai"
"243","10.3390/jof9100977"," arbuscular mycorrhizal fungi (amf)"
"244","10.1007/s13205-023-03793-8","amf inoculation"
"245","10.1007/s13205-023-03793-8"," glomus irregularis custos intraradices"
"246","10.1007/s13205-023-03793-8"," arbuscular mycorrhizal fungi (amf)"
"247","10.1007/s13205-023-03793-8"," irregularis g. custos"
"248","10.1007/s13205-023-03793-8"," glomus irregularis"
"249","10.1007/s13205-023-03793-8"," irregularis g. intraradices"
"250","10.1093/treephys/tpad130","funneliformis mosseae"
"251","10.1093/treephys/tpad130"," arbuscular mycorrhizal fungi (amf)"
"252","10.1093/treephys/tpad130"," mosseae f."
"253","10.3390/plants12193426","commercial amf inoculant"
"254","10.3390/plants12193426"," arbuscular mycorrhizal fungi (amf)"
"255","10.1007/s00572-023-01126-4","arbuscular mycorrhizal fungal (amf)"
"256","10.1016/j.envres.2023.117219","fusarium oxysporum"
"257","10.1016/j.envres.2023.117219"," bacillus paramycoides mosseae"
"258","10.1016/j.envres.2023.117219"," plant growth-promoting bacteria"
"259","10.1016/j.envres.2023.117219"," paramycoides mosseae"
"260","10.1016/j.envres.2023.117219"," bacillus paramycoides"
"261","10.1016/j.envres.2023.117219"," funneliformis mosseae"
"262","10.1016/j.envres.2023.117219"," paramycoides funneliformis mosseae"
"263","10.1016/j.envres.2023.117219"," arbuscular mycorrhizal fungi (amf)"
"264","10.1016/j.envres.2023.117219"," bacillus mosseae"
"265","10.1016/j.envres.2023.117219"," paramycoides stress"
"266","10.1016/j.envres.2023.117219"," bacillus paramycoides funneliformis mosseae"
"267","10.1016/j.scitotenv.2023.167289","fungal inoculum"
"268","10.1016/j.scitotenv.2023.167289"," rhizophagus irregularis"
"269","10.1016/j.scitotenv.2023.167289"," arbuscular mycorrhizal (am)"
"270","10.7717/peerj.15686","claroideoglomus"
"271","10.7717/peerj.15686"," indigenous mycorrhizal species"
"272","10.1016/j.ecoenv.2023.115458","arbuscular mycorrhizal fungi (amf)"
"273","10.3389/fpls.2023.1206047","arbuscular mycorrhizal fungi"
"274","10.3390/microorganisms11082012","fungal inoculation"
"275","10.3390/microorganisms11082012"," arbuscular mycorrhizal (am)"
"276","10.3389/fpls.2023.1222557","funneliformis mosseae"
"277","10.3389/fpls.2023.1222557"," geosporum beg199"
"278","10.3389/fpls.2023.1222557"," azospirillum"
"279","10.3389/fpls.2023.1222557"," pgpm"
"280","10.3389/fpls.2023.1222557"," etunicatum beg92"
"281","10.3389/fpls.2023.1222557"," irregularis beg140"
"282","10.3389/fpls.2023.1222557"," claroideoglomus etunicatum beg92"
"283","10.3389/fpls.2023.1222557"," claroideoglomus claroideum"
"284","10.3389/fpls.2023.1222557"," rhizophagus beg140"
"285","10.3389/fpls.2023.1222557"," funneliformis geosporum beg199"
"286","10.3389/fpls.2023.1222557"," arbuscular mycorrhizal fungi (amf)"
"287","10.3389/fpls.2023.1222557"," plant growth-promoting microorganisms"
"288","10.3389/fpls.2023.1222557"," rhizophagus irregularis beg140"
"289","10.3389/fpls.2023.1222557"," claroideoglomus etunicatum"
"290","10.3389/fpls.2023.1222557"," saccharothrix"
"291","10.3389/fpls.2023.1222557"," funneliformis beg199"
"292","10.3389/fpls.2023.1222557"," s pgpm az"
"293","10.3389/fpls.2023.1222557"," arbuscular mycorrhiza"
"294","10.3389/fpls.2023.1222557"," brasilense"
"295","10.3390/toxics11070582","arbuscular-mycorrhizal fungi"
"296","10.3390/toxics11070582"," funneliformis caledonium"
"297","10.3390/toxics11070582"," pseudomonas mendocina"
"298","10.3390/toxics11070582"," ceratobasidium"
"299","10.1111/gcb.16886","glomus"
"300","10.1111/gcb.16886"," arbuscular mycorrhizal fungi (amf)"
"301","10.1111/gcb.16886"," paraglomus acaulospora"
"302","10.1093/aob/mcad095","arbuscular mycorrhizal fungi (amf)"
"303","10.3389/fmicb.2023.1184070","plant growth promoting rhizobacteria"
"304","10.3389/fmicb.2023.1184070"," bacterial fungal inocula"
"305","10.1016/j.envpol.2023.122146","fungal inoculum"
"306","10.1016/j.envpol.2023.122146"," arbuscular mycorrhizal (am)"
"307","10.3390/jof9060684","amf inoculation"
"308","10.3390/jof9060684"," glomus intraradices"
"309","10.3390/jof9060684"," glomus mosseae"
"310","10.3390/jof9060684"," glomus mosseae intraradices"
"311","10.3390/jof9060684"," arbuscular mycorrhizal fungi (amf)"
"312","10.3390/jof9060677","funneliformis mosseae"
"313","10.3390/jof9060677"," arbuscular mycorrhizal fungi (amf)"
"314","10.1016/j.scitotenv.2023.164970","amf inoculation"
"315","10.1016/j.scitotenv.2023.164970"," arbuscular mycorrhizal fungi (amf)"
"316","10.3389/fmicb.2023.1131797","constrictum cereus b."
"317","10.3389/fmicb.2023.1131797"," bacillus"
"318","10.3389/fmicb.2023.1131797"," bacillus cereus"
"319","10.3389/fmicb.2023.1131797"," arbuscular mycorrhizal fungi (amf)"
"320","10.3389/fmicb.2023.1131797"," septoglomus constrictum"
"321","10.3389/fmicb.2023.1131797"," bacillus cereus bc"
"322","10.3389/fmicb.2023.1131797"," constrictum cereus s."
"323","10.3389/fpls.2023.1134995","mosseae"
"324","10.3389/fpls.2023.1134995"," etunicatum g."
"325","10.3389/fpls.2023.1134995"," glomus"
"326","10.3389/fpls.2023.1134995"," irregularis glomus claroideun"
"327","10.3389/fpls.2023.1134995"," glomus claroideun"
"328","10.3389/fpls.2023.1134995"," claroideun g."
"329","10.3389/fpls.2023.1134995"," rhizophagus irregularis"
"330","10.3389/fpls.2023.1134995"," etunicatum"
"331","10.3389/fpls.2023.1134995"," glomus claroideun inoculation"
"332","10.3389/fpls.2023.1134995"," claroideun etunicatum g."
"333","10.3389/fpls.2023.1134995"," rhizophagus irregularis claroideun"
"334","10.3389/fpls.2023.1134995"," arbuscular mycorrhizal fungi (amf)"
"335","10.3389/fpls.2023.1134995"," claroideun inoculation etunicatum g."
"336","10.3390/microorganisms11051144","amf inoculum"
"337","10.3390/microorganisms11051144"," arbuscular mycorrhizal fungi (amf)"
"338","10.3390/microorganisms11051113","soil from soil"
"339","10.3390/microorganisms11051113"," amf inoculum"
"340","10.3390/microorganisms11051113"," commercial inoculum"
"341","10.3390/microorganisms11051113"," arbuscular mycorrhizal fungi (amf)"
"342","10.3390/plants12112195","amf inoculation"
"343","10.3390/plants12112195"," arbuscular mycorrhizal fungi (amf)"
"344","10.3390/life13051118","claroideoglomus"
"345","10.3390/life13051118"," acaulospora"
"346","10.3390/life13051118"," glomus"
"347","10.3390/life13051118"," arbuscular mycorrhizal fungi (amf)"
"348","10.3390/life13051118"," funneliformis"
"349","10.3390/life13051118"," rhizophagus"
"350","10.3390/jof9050540","imperialis b. excess p."
"351","10.3390/jof9050540"," amf inoculation treatments"
"352","10.3390/jof9050540"," imperialis b."
"353","10.3390/jof9050540"," arbuscular mycorrhizal fungi (amf)"
"354","10.3390/plants12091908","arbuscular mycorrhizal fungi (amf)"
"355","10.3390/plants12091908"," amf inoculation"
"356","10.1093/treephys/tpad064","arbuscular (am) am ectomycorrhizal fungi"
"357","10.3390/jof9040479","amf inoculation"
"358","10.3390/jof9040479"," etunicatum c."
"359","10.3390/jof9040479"," claroideoglomus etunicatum intraradices"
"360","10.3390/jof9040479"," arbuscular mycorrhizal fungi (amf)"
"361","10.3390/jof9040479"," etunicatum rhizophagus intraradices"
"362","10.3390/jof9040479"," claroideoglomus etunicatum"
"363","10.3390/jof9040479"," etunicatum intraradices r."
"364","10.3390/jof9040479"," intraradices r."
"365","10.3390/jof9040479"," etunicatum intraradices c."
"366","10.3390/jof9040479"," rhizophagus intraradices"
"367","10.3390/biology12040628","amf tuber melanosporum"
"368","10.3390/biology12040628"," native"
"369","10.3390/biology12040628"," tuber melanosporum"
"370","10.3390/biology12040628"," arbuscular mycorrhizal fungi (amf)"
"371","10.1186/s12284-023-00635-2","piriformospora indica"
"372","10.1186/s12284-023-00635-2"," funneliformis mosseae"
"373","10.1186/s12284-023-00635-2"," funneliformis mosseae fm"
"374","10.1186/s12284-023-00635-2"," ar indica agrobacterium rhizogenes"
"375","10.1186/s12284-023-00635-2"," agrobacterium rhizogenes"
"376","10.1186/s12284-023-00635-2"," arbuscular mycorrhizal fungi (amf)"
"377","10.1186/s12284-023-00635-2"," piriformospora pi indica rhizogenes"
"378","10.1016/j.ecoenv.2023.114776","amf inoculation"
"379","10.1016/j.ecoenv.2023.114776"," amf inoculations"
"380","10.1016/j.ecoenv.2023.114776"," arbuscular mycorrhizal fungi (amf)"
"381","10.1016/j.micres.2023.127350","amf inoculation"
"382","10.1016/j.micres.2023.127350"," plant growth-promoting rhizobacteria"
"383","10.1016/j.micres.2023.127350"," bacillus"
"384","10.1016/j.micres.2023.127350"," rhizophagus clarus"
"385","10.1016/j.micres.2023.127350"," arbuscular mycorrhizal fungi (amf)"
"386","10.3389/fpls.2023.1140467","arbuscular mycorrhizal fungi (amf)"
"387","10.3390/plants12051184","native am fungi"
"388","10.3390/plants12051184"," whole soil collections"
"389","10.3390/plants12051184"," native microbe soil amendments"
"390","10.3390/plants12051184"," arbuscular mycorrhizal (am)"
"391","10.1186/s12870-023-04111-3","amf inoculation"
"392","10.1186/s12870-023-04111-3"," diversispora spurca"
"393","10.1186/s12870-023-04111-3"," arbuscular mycorrhizal fungi (amf)"
"394","10.1186/s12870-023-04111-3"," arbuscular mycorrhizal fungus"
"395","10.3389/fpls.2023.1101932","amf inoculation"
"396","10.3389/fpls.2023.1101932"," funneliformis mosseae"
"397","10.3389/fpls.2023.1101932"," arbuscular mycorrhizal fungi (amf)"
"398","10.3390/plants12030547","amf inoculation"
"399","10.3390/plants12030547"," arbuscular mycorrhizal fungi (amf)"
"400","10.1007/s00442-023-05329-6","whole-soil inoculum"
"401","10.1007/s00442-023-05329-6"," soil conditioning"
"402","10.1007/s00442-023-05329-6"," unconditioned"
"403","10.1007/s00442-023-05329-6"," unconditioned filtrate"
"404","10.1007/s00442-023-05329-6"," soil filtrate"
"405","10.1007/s00442-023-05329-6"," self-conditioned"
"406","10.1007/s00442-023-05329-6"," self-conditioned unconditioned"
"407","10.3390/microorganisms11010050","commercial amf inoculum"
"408","10.3390/microorganisms11010050"," commercial amf inoculation"
"409","10.3390/microorganisms11010050"," commercial inoculum"
"410","10.3390/microorganisms11010050"," arbuscular mycorrhizal fungi (amf)"
"411","10.1007/s00284-022-03145-4","native inoculum"
"412","10.1007/s00284-022-03145-4"," funneliformis geosporum"
"413","10.1007/s00284-022-03145-4"," amf inoculum"
"414","10.1007/s00284-022-03145-4"," arbuscular mycorrhizal fungi (amf)"
"415","10.1007/s00284-022-03145-4"," commercial inoculum"
"416","10.1007/s00284-022-03145-4"," amf inoculums"
"417","10.1007/s00284-022-03145-4"," native mycorrhizal inoculum"
"418","10.1016/j.scitotenv.2022.160616","early-successional inoculated"
"419","10.1016/j.scitotenv.2022.160550","arbuscular mycorrhizal plant species"
"420","10.1016/j.scitotenv.2022.160550"," arbuscular mycorrhizal fungi (amf)"
"421","10.3390/microorganisms10112287","amf inoculation"
"422","10.3390/microorganisms10112287"," arbuscular mycorrhizal fungus (funneliformis mosseae"
"423","10.3390/microorganisms10112287"," arbuscular mycorrhizal fungi (amf)"
"424","10.3389/fpls.2022.1022319","vietnamiensis b. capable"
"425","10.3389/fpls.2022.1022319"," rhizophagus aggregatus"
"426","10.3389/fpls.2022.1022319"," arbuscular mycorrhizal fungi (amf)"
"427","10.3389/fpls.2022.993301","mortierella elongata"
"428","10.3389/fpls.2022.993301"," endophytic fungi"
"429","10.3389/fpls.2022.993301"," arenicola mortierella elongata"
"430","10.3389/fpls.2022.993301"," arbuscular mycorrhizal fungi (amf)"
"431","10.3389/fpls.2022.993301"," geopora arenicola"
"432","10.3389/fpls.2022.993301"," geopora arenicola elongata"
"433","10.3389/fpls.2022.993301"," commercial inoculum"
"434","10.3389/fpls.2022.993301"," ectomycorrhizal fungi (ecm)"
"435","10.3389/fpls.2022.993301"," ascomycota"
