"","study_id","ECOTYPE"
"446","10.3390/life12040497","artemisia annua"
"447","10.3390/life12040497"," annua"
"448","10.1002/ps.6923","bean"
"449","10.1002/ps.6923"," bean plants"
"450","10.1002/ps.6923"," beans"
"451","10.1002/ps.6923"," phaseolus vulgaris"
"452","10.1186/s12870-022-03514-y","shrubland ecosystems"
"453","10.1186/s12870-022-03514-y"," cajanus cajan"
"454","10.1186/s12870-022-03514-y"," benth cajan"
"455","10.1186/s12870-022-03514-y"," albizia odoratissima"
"456","10.1186/s12870-022-03514-y"," odoratissima a."
"457","10.3390/plants11070861","lycopersicum tomato"
"458","10.3390/plants11070861"," solanum lycopersicum"
"459","10.3390/plants11070861"," solanum lycopersicum tomato chalcites"
"460","10.3389/fmicb.2022.814323","rice"
"461","10.3389/fmicb.2022.814323"," the rice"
"462","10.7717/peerj.13080","elymus nutans griseb"
"463","10.7717/peerj.13080"," elymus nutans nutans griseb with"
"464","10.3390/molecules27061752","p. graveolens"
"465","10.3390/molecules27061752"," pelargonium graveolens"
"466","10.3390/molecules27061752"," rose-scented geranium"
"467","10.1111/plb.13402","plantago lanceolata"
"468","10.1111/plb.13402"," p. lanceolata"
"469","10.1111/plb.13402"," acacia dealbata"
"470","10.1111/plb.13402"," more p. however however"
"471","10.1007/s00203-022-02786-0","bean"
"472","10.1007/s00203-022-02786-0"," improving bean"
"473","10.1007/s00203-022-02786-0"," phaseolus vulgaris"
"474","10.1016/j.scitotenv.2022.153696","alfalfa l. barley"
"475","10.1016/j.scitotenv.2022.153696"," alfalfa"
"476","10.1016/j.scitotenv.2022.153696"," hordeum vulgare"
"477","10.1016/j.scitotenv.2022.153696"," medicago ruthenica"
"478","10.3390/plants11010089","khartoumia"
"479","10.3390/plants11010089"," khartoumia' hsd6719 hsd7058 sarah"
"480","10.3390/plants11010089"," okra"
"481","10.1007/s00248-021-01945-y","rye grass"
"482","10.1007/s00248-021-01945-y"," lolium perenne"
"483","10.1007/s00572-021-01059-w","alfalfa plants"
"484","10.1007/s00572-021-01059-w"," medicago sativa"
"485","10.1007/s00572-021-01059-w"," alfalfa l."
"486","10.3390/plants10122716","tamarix articulata"
"487","10.3390/plants10122716"," edaphoclimatic"
"488","10.3390/plants10122716"," t. articulata"
"489","10.3390/plants10122716"," arid semiarid"
"490","10.1007/s00284-021-02682-8","turmeric"
"491","10.1007/s00284-021-02682-8"," curcuma longa"
"492","10.1038/s41598-021-03132-y","temperate tree"
"493","10.1002/eap.2501","alfalfa canola"
"494","10.1002/eap.2501"," alfalfa canola maize"
"495","10.1002/eap.2501"," maize soybean wheat"
"496","10.1002/eap.2501"," soybean wheat"
"497","10.1002/eap.2501"," canola maize soybean"
"498","10.1002/eap.2501"," alfalfa soybean"
"499","10.1002/ppp3.10094","wheat"
"500","10.1016/j.crmicr.2021.100061","tryphysa a."
"501","10.1016/j.crmicr.2021.100061"," ailanthus tryphysa"
"502","10.1016/j.crmicr.2021.100061"," trees"
"503","10.1016/j.crmicr.2021.100061"," tryphysa"
"504","10.1371/journal.pone.0259959","e. maackii-am"
"505","10.1371/journal.pone.0259959"," e. maackii"
"506","10.1371/journal.pone.0259959"," euonymus maackii"
"507","10.1016/j.scitotenv.2021.151803","fern"
"508","10.1016/j.scitotenv.2021.151803"," p. vittata"
"509","10.1016/j.scitotenv.2021.151803"," a soil coarse-"
"510","10.1016/j.scitotenv.2021.151803"," ferns growing"
"511","10.1016/j.scitotenv.2021.151803"," ferns"
"512","10.1016/j.scitotenv.2021.151803"," soil coarse-"
"513","10.1016/j.scitotenv.2021.151803"," pteris vittata"
"514","10.1007/s11356-021-17256-1","halleri a."
"515","10.1007/s11356-021-17256-1"," arabidopsis halleri"
"516","10.1007/s11356-021-17256-1"," halleri"
"517","10.1016/j.scitotenv.2021.151649","wheat miscanthus"
"518","10.1016/j.scitotenv.2021.151649"," potato"
"519","10.1016/j.scitotenv.2021.151649"," potato plants"
"520","10.1080/15226514.2021.2002809","t. patula"
"521","10.1080/15226514.2021.2002809"," tagetes patula"
"522","10.1007/s00572-021-01057-y","forest"
"523","10.1007/s00572-021-01057-y"," bracken areas"
"524","10.1007/s00572-021-01057-y"," bracken-dominated ecosystems"
"525","10.1007/s00572-021-01057-y"," bracken fern"
"526","10.1007/s00572-021-01057-y"," tropical montane forests"
"527","10.1007/s00572-021-01057-y"," forests"
"528","10.1007/s00572-021-01057-y"," pteridium inoculum"
"529","10.1007/s00572-021-01057-y"," clusia trochiformis"
